complexity,accuracy,distortion
2.790751405038805e-15,4.851259157876644e-14,0.41582489013667023
1.4290999470625904e-14,5.2336273559405094e-14,0.4158248901366664
5.556396089724203e-14,6.494628983371619e-14,0.4158248901366538
1.6432836810667973e-13,9.892556780296696e-14,0.41582489013661983
4.1274665012329234e-13,1.7591386284401526e-13,0.41582489013654284
9.262876708990275e-13,3.354878725991371e-13,0.41582489013638324
1.8363854777158733e-12,6.181164356053479e-13,0.41582489013610063
3.561805868314223e-12,1.1539986855453625e-12,0.41582489013556473
6.295188566899321e-12,2.0027612909631037e-12,0.41582489013471596
1.0561468941512153e-11,3.3274318561449975e-12,0.4158248901333913
1.6784411740462283e-11,5.259810691531849e-12,0.41582489013145896
2.673626236403571e-11,8.350402510531643e-12,0.4158248901283684
4.0604488232997366e-11,1.2656600670889799e-11,0.41582489012406215
5.819389138739842e-11,1.8118706967930952e-11,0.4158248901186
8.534634593355003e-11,2.6549920177681346e-11,0.4158248901101688
1.1867094809084518e-10,3.6897768826364516e-11,0.415824890099821
1.6525731106936024e-10,5.1365138657158294e-11,0.4158248900853536
2.2712292456973362e-10,7.057668273257151e-11,0.4158248900661421
3.0499641321002043e-10,9.475705770885836e-11,0.4158248900419617
3.946486782614681e-10,1.2259656021500495e-10,0.4158248900141222
5.148600835850143e-10,1.5993098090462016e-10,0.4158248899767878
6.790589519944186e-10,2.1091775509715814e-10,0.415824889925801
8.615706688408526e-10,2.675898909109063e-10,0.41582488986912886
1.0845317395199384e-09,3.36821204467042e-10,0.41582488979989757
1.3585229247683533e-09,4.219095515329441e-10,0.4158248897148092
1.699974866688514e-09,5.279409790781144e-10,0.4158248896087778
2.064318189806545e-09,6.41049733385249e-10,0.41582488949566904
2.532931633010813e-09,7.866047806350152e-10,0.41582488935011397
3.1259350285887704e-09,9.70755159277503e-10,0.4158248891659636
3.778741062197385e-09,1.173488845784371e-09,0.4158248889632299
4.532512067920028e-09,1.4075189327251894e-09,0.4158248887291998
5.41875414666428e-09,1.682689883188948e-09,0.4158248884540289
6.431374502267095e-09,1.9971408461011837e-09,0.4158248881395779
7.734119415068982e-09,2.4017707421903954e-09,0.415824887734948
8.963460972402029e-09,2.783480438893146e-09,0.4158248873532383
1.067894341669518e-08,3.3162085657216334e-09,0.41582488682051016
1.2482338058150022e-08,3.876058211321145e-09,0.41582488626066055
1.4185672737406309e-08,4.405031527442704e-09,0.41582488573168724
1.6724404431451585e-08,5.1934350722949216e-09,0.4158248849432837
1.9234164865354774e-08,5.972725198441242e-09,0.41582488416399355
2.2252115956370657e-08,6.909703910926292e-09,0.41582488322701483
2.329526024603882e-08,7.2468640552952165e-09,0.4158248828898547
2.5729443578510186e-08,8.004150730981683e-09,0.415824882132568
2.7238958271820605e-08,8.473740328008283e-09,0.41582488166297843
3.0716498841666625e-08,9.555511513004508e-09,0.41582488058120726
3.403904094898056e-08,1.058916550408672e-08,0.41582487954755326
3.691635900634514e-08,1.1484226923931427e-08,0.41582487865249185
3.996709725918787e-08,1.2433205606513413e-08,0.4158248777035131
4.3761087051371e-08,1.3613513512159789e-08,0.4158248765232052
4.676252146355146e-08,1.454718438724976e-08,0.41582487558953435
5.113821211781997e-08,1.5908495169140302e-08,0.41582487422822356
5.5559829227631744e-08,1.7283899324412446e-08,0.41582487285281944
6.11527499949225e-08,1.9023818984906204e-08,0.4158248711128998
6.543948037852033e-08,2.0357306513357933e-08,0.41582486977941224
7.186412150905451e-08,2.2356044183370294e-08,0.41582486778067457
7.746153389412174e-08,2.40972619754382e-08,0.4158248660394568
8.384902607294756e-08,2.608429566587961e-08,0.4158248640524231
9.014698604548127e-08,2.8043446901682926e-08,0.41582486209327185
9.641205622309693e-08,2.9992422360416354e-08,0.41582486014429637
1.0721078807046478e-07,3.335188248482931e-08,0.41582485678483627
1.1314835403203324e-07,3.519880851307834e-08,0.4158248549379102
1.2434104261986277e-07,3.86807261185571e-08,0.41582485145599263
1.3466779138023355e-07,4.1893369909070823e-08,0.41582484824334887
1.4393172801013982e-07,4.4775233538366035e-08,0.41582484536148523
1.5348051563705455e-07,4.774571258783721e-08,0.41582484239100614
1.6609294425685987e-07,5.166936004474311e-08,0.4158248384673587
1.7922733689299636e-07,5.575505229018397e-08,0.41582483438166645
1.960209062612974e-07,6.09797316019951e-08,0.41582482915698715
2.0949783953520273e-07,6.517210706605029e-08,0.4158248249646117
2.1711585791330465e-07,6.754169101712085e-08,0.41582482259502773
2.397845376938611e-07,7.459372367020668e-08,0.41582481554299505
2.476610336777148e-07,7.704362089312077e-08,0.4158248130930979
2.700613931873674e-07,8.401190807428664e-08,0.41582480612481065
2.918339466607824e-07,9.078558610526688e-08,0.41582479935113265
3.0924628070163106e-07,9.620205080160347e-08,0.4158247939346679
3.332847220267628e-07,1.0367996572702077e-07,0.415824786456753
3.566027450607236e-07,1.1093307380634566e-07,0.41582477920364497
3.776111205585675e-07,1.1746958942854867e-07,0.4158247726671293
4.0143525500366545e-07,1.2488049940629757e-07,0.41582476525621936
4.347489751811504e-07,1.352441885844581e-07,0.4158247548925302
4.5400851739709275e-07,1.412350412597401e-07,0.4158247489016775
4.827307228437225e-07,1.5016966763139973e-07,0.4158247399670511
5.144542594186071e-07,1.6003953713379143e-07,0.4158247300971816
5.595313454006097e-07,1.7406122521169032e-07,0.41582471607549354
5.942232788916729e-07,1.8485376082462744e-07,0.41582470528295795
6.360007321513019e-07,1.9784989003921616e-07,0.4158246922868287
6.586427959954632e-07,2.0489340248046574e-07,0.4158246852433163
7.055463320724142e-07,2.194856539579071e-07,0.41582467065106477
7.349073699383715e-07,2.2861750174462598e-07,0.415824661519217
7.913210161361158e-07,2.4616791234714786e-07,0.4158246439688064
8.553548254502984e-07,2.660876143069811e-07,0.4158246240491044
9.066839307909848e-07,2.8205709508148343e-07,0.4158246080796237
9.494937619581696e-07,2.953720955109161e-07,0.41582459476462325
1.0106117046878393e-06,3.143843721687786e-07,0.4158245757523466
1.0545078091417654e-06,3.280383714978703e-07,0.41582456209834723
1.1427016897915057e-06,3.554776918529941e-07,0.4158245346590269
1.189875446896916e-06,3.701503076120296e-07,0.4158245199864111
1.2820401251051044e-06,3.9882256114112193e-07,0.4158244913141576
1.351305986378134e-06,4.2037022451522274e-07,0.41582446976649423
1.4300856948298217e-06,4.44878359816211e-07,0.41582444525835893
1.4967937985042925e-06,4.656287339418287e-07,0.4158244245079848
1.5718384799622579e-06,4.88975994605527e-07,0.41582440116072417
1.6590070378414433e-06,5.160896126018376e-07,0.41582437404710615
1.7627709397539618e-06,5.483681395105179e-07,0.41582434176857924
1.8369923624681951e-06,5.714600571978554e-07,0.41582431867666153
1.975267778006204e-06,6.144738502093249e-07,0.41582427566286856
2.055742897173345e-06,6.395092449610801e-07,0.4158242506274738
2.193808704814248e-06,6.82461301168717e-07,0.41582420767541756
2.3071169954854365e-06,7.177082485114926e-07,0.41582417242847025
2.443097159775284e-06,7.60006728723629e-07,0.41582413012999003
2.5495874197540447e-06,7.931343825065404e-07,0.41582409700233625
2.6555415639131175e-06,8.260936023990364e-07,0.41582406404311634
2.8219466590098874e-06,8.778587324813129e-07,0.41582401227798627
2.92488217893238e-06,9.098816463998715e-07,0.41582398025507233
3.0963455269967016e-06,9.632265622098028e-07,0.4158239269101565
3.2816371196628047e-06,1.020866760051394e-06,0.4158238692699587
3.425753852713032e-06,1.0656873932802785e-06,0.4158238244493255
3.5892098347151014e-06,1.1165430127217064e-06,0.41582377359370604
3.760789940776844e-06,1.169908485009131e-06,0.4158237202282337
3.93921853000771e-06,1.2254261164584932e-06,0.4158236647106023
4.2075089259873465e-06,1.3088881548924088e-06,0.41582358124856383
4.386022457884793e-06,1.3644142183211717e-06,0.4158235257225004
4.694129275735935e-06,1.4602685957888383e-06,0.415823429868123
4.8706920081157975e-06,1.515187407724677e-06,0.41582337494931104
5.056440645586481e-06,1.5729710851356452e-06,0.4158233171656336
5.261550918665422e-06,1.636777532181994e-06,0.4158232533591866
5.566932856082265e-06,1.7317834214729415e-06,0.41582315835329725
5.794927240818539e-06,1.8027035286217728e-06,0.41582308743319013
6.165516938486885e-06,1.9179942853958905e-06,0.41582297214243336
6.375443783658225e-06,1.9832912546366104e-06,0.41582290684546414
6.6613769554366995e-06,2.0722399706484954e-06,0.4158228178967481
7.001911968453299e-06,2.1781782094867435e-06,0.4158227119585093
7.229607315678775e-06,2.248998441065204e-06,0.41582264113827766
7.612233084998853e-06,2.368020942737029e-06,0.415822522115776
7.976771174998002e-06,2.4814352311186465e-06,0.4158224087014876
8.289986175755722e-06,2.5788671203731923e-06,0.4158223112695984
8.712499466785206e-06,2.7102992115096677e-06,0.41582217983750724
9.097267128801119e-06,2.829988337734086e-06,0.415822060148381
9.587301943627953e-06,2.982412637979851e-06,0.4158219077240808
9.862649252319148e-06,3.06808573417735e-06,0.41582182205098456
1.0407683103737967e-05,3.2376435191356847e-06,0.41582165249319963
1.0616094392158147e-05,3.3024777277195116e-06,0.415821587658991
1.1427143049243408e-05,3.5547777016617696e-06,0.4158213353590171
1.1761883789170797e-05,3.6588984124981934e-06,0.4158212312383063
1.2528712419283156e-05,3.897447427358844e-06,0.4158209926892914
1.2695914462256667e-05,3.949475184280617e-06,0.41582094066153447
1.2731481412070998e-05,3.961533328764068e-06,0.41582092860339
1.3412229039023532e-05,4.173356106893595e-06,0.41582071678061183
1.398822840011208e-05,4.352585239423348e-06,0.41582053755147935
1.4562320933716157e-05,4.53122061513215e-06,0.41582035891610364
1.4893862917442035e-05,4.634379812910624e-06,0.41582025575690584
1.587950883204606e-05,4.941069134228107e-06,0.4158199490675845
1.6287606899614275e-05,5.0680552882243615e-06,0.41581982208143053
1.6856176972572887e-05,5.244971954906953e-06,0.41581964516476383
1.755920994171803e-05,5.46373134737043e-06,0.4158194264053714
1.837925901835239e-05,5.718894355452861e-06,0.4158191712423633
1.8892129908104386e-05,5.878475960886394e-06,0.41581901166075785
1.9622228934100274e-05,6.10565197353428e-06,0.41581878448474524
2.0435179179126794e-05,6.358611120115238e-06,0.4158185315255986
2.1242774013114254e-05,6.609897885451734e-06,0.41581828023883327
2.2193915880258176e-05,6.905849207600099e-06,0.41581798428751116
2.2858703697478984e-05,7.112708474320109e-06,0.41581777742824444
2.421059319015253e-05,7.533355652031877e-06,0.41581735678106674
2.4935546688045965e-05,7.758931487949185e-06,0.4158171312052308
2.5942847092748024e-05,8.072354717582896e-06,0.4158168177820012
2.6447844047817373e-05,8.229490498979141e-06,0.41581666064621975
