complexity,accuracy,distortion,mse,round,run
1.9073486e-06,0.0,0.4158249,1.4527323,0.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527228,1.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,2.0,1.0
0.0,0.0,0.4158249,1.4527229,3.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,4.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,5.0,1.0
0.0,0.0,0.4158249,1.4527229,6.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,7.0,1.0
0.0,0.0,0.4158249,1.4527228,8.0,1.0
1.9073486e-06,0.0,0.4158268,1.4527229,9.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,10.0,1.0
1.9073486e-06,0.0,0.4158268,1.4527228,11.0,1.0
0.0,0.0,0.4158268,1.4527228,12.0,1.0
0.0,0.0,0.4158249,1.4527228,13.0,1.0
0.0,0.0,0.4158249,1.4527229,14.0,1.0
0.0,0.0,0.4158249,1.4527229,15.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,16.0,1.0
0.0,0.0,0.4158249,1.4527229,17.0,1.0
0.0,0.0,0.4158249,1.4527228,18.0,1.0
0.0,0.0,0.4158249,1.4527229,19.0,1.0
0.0,0.0,0.4158249,1.4527229,20.0,1.0
0.0,0.0,0.4158249,1.4527228,21.0,1.0
0.0,0.0,0.4158249,1.4527229,22.0,1.0
0.0,0.0,0.4158249,1.4527229,23.0,1.0
0.0,0.0,0.4158249,1.4527228,24.0,1.0
0.0,0.0,0.4158249,1.4527228,25.0,1.0
0.0,0.0,0.4158249,1.4527228,26.0,1.0
0.0,0.0,0.4158249,1.4527228,27.0,1.0
0.0,0.0,0.4158249,1.4527228,28.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527228,29.0,1.0
0.0,0.0,0.4158249,1.4527228,30.0,1.0
0.0,0.0,0.4158249,1.4527228,31.0,1.0
0.0,0.0,0.4158249,1.4527228,32.0,1.0
0.0,0.0,0.4158249,1.4527228,33.0,1.0
0.0,0.0,0.4158249,1.4527228,34.0,1.0
0.0,0.0,0.4158249,1.4527228,35.0,1.0
0.0,0.0,0.4158249,1.4527228,36.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527228,37.0,1.0
0.0,0.0,0.4158249,1.4527229,38.0,1.0
0.0,0.0,0.4158249,1.4527228,39.0,1.0
0.0,0.0,0.4158249,1.4527228,40.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,41.0,1.0
0.0,0.0,0.4158249,1.4527229,42.0,1.0
0.0,0.0,0.4158249,1.4527229,43.0,1.0
0.0,0.0,0.4158249,1.4527228,44.0,1.0
0.0,0.0,0.4158268,1.4527228,45.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,46.0,1.0
0.0,0.0,0.4158249,1.4527229,47.0,1.0
0.0,0.0,0.4158249,1.4527229,48.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527228,49.0,1.0
0.0,0.0,0.4158249,1.4527228,50.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527228,51.0,1.0
0.0,0.0,0.4158249,1.4527228,52.0,1.0
0.0,0.0,0.4158249,1.4527229,53.0,1.0
0.0,0.0,0.4158249,1.4527229,54.0,1.0
0.0,0.0,0.4158249,1.4527229,55.0,1.0
0.0,0.0,0.4158249,1.4527228,56.0,1.0
0.0,0.0,0.4158249,1.4527229,57.0,1.0
0.0,0.0,0.4158249,1.4527228,58.0,1.0
0.0,0.0,0.4158249,1.4527229,59.0,1.0
0.0,0.0,0.4158249,1.4527229,60.0,1.0
0.0,0.0,0.4158249,1.4527229,61.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,62.0,1.0
0.0,0.0,0.4158249,1.4527228,63.0,1.0
0.0,0.0,0.4158249,1.4527228,64.0,1.0
0.0,0.0,0.4158249,1.4527228,65.0,1.0
0.0,0.0,0.4158249,1.4527229,66.0,1.0
0.0,0.0,0.4158249,1.4527228,67.0,1.0
0.0,0.0,0.4158249,1.4527229,68.0,1.0
0.0,0.0,0.4158249,1.4527229,69.0,1.0
0.0,0.0,0.4158249,1.4527228,70.0,1.0
0.0,0.0,0.4158249,1.4527229,71.0,1.0
0.0,0.0,0.4158249,1.4527228,72.0,1.0
0.0,0.0,0.4158249,1.4527228,73.0,1.0
0.0,0.0,0.4158249,1.4527229,74.0,1.0
0.0,0.0,0.4158249,1.4527229,75.0,1.0
0.0,0.0,0.4158249,1.4527229,76.0,1.0
0.0,0.0,0.4158249,1.4527229,77.0,1.0
0.0,0.0,0.4158249,1.4527228,78.0,1.0
0.0,0.0,0.4158249,1.4527229,79.0,1.0
0.0,0.0,0.4158249,1.4527229,80.0,1.0
0.0,0.0,0.4158249,1.4527229,81.0,1.0
0.0,0.0,0.4158249,1.4527229,82.0,1.0
0.0,0.0,0.4158249,1.4527229,83.0,1.0
0.0,0.0,0.4158249,1.4527229,84.0,1.0
0.0,0.0,0.4158249,1.4527229,85.0,1.0
0.0,0.0,0.4158249,1.4527229,86.0,1.0
0.0,0.0,0.4158249,1.4527228,87.0,1.0
0.0,0.0,0.4158249,1.4527229,88.0,1.0
0.0,0.0,0.4158249,1.4527229,89.0,1.0
0.0,0.0,0.4158249,1.4527229,90.0,1.0
0.0,0.0,0.4158249,1.4527229,91.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,92.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527228,93.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,94.0,1.0
0.0,0.0,0.4158249,1.4527229,95.0,1.0
0.0,0.0,0.4158249,1.4527228,96.0,1.0
0.0,0.0,0.4158249,1.4527229,97.0,1.0
0.0,0.0,0.4158249,1.4527229,98.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,99.0,1.0
0.0,0.0,0.4158249,1.4527229,100.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,101.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,102.0,1.0
0.0,0.0,0.4158249,1.4527229,103.0,1.0
0.0,0.0,0.4158249,1.4527228,104.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527228,105.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527228,106.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527228,107.0,1.0
0.0,0.0,0.4158249,1.4527228,108.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527228,109.0,1.0
0.0,0.0,0.4158249,1.4527229,110.0,1.0
0.0,0.0,0.4158249,1.4527229,111.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527228,112.0,1.0
0.0,0.0,0.4158249,1.4527229,113.0,1.0
0.0,0.0,0.4158249,1.4527229,114.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,115.0,1.0
0.0,0.0,0.4158249,1.4527229,116.0,1.0
0.0,0.0,0.4158249,1.4527229,117.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,118.0,1.0
0.0,0.0,0.4158249,1.4527229,119.0,1.0
0.0,0.0,0.4158249,1.4527229,120.0,1.0
0.0,0.0,0.4158249,1.4527229,121.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,122.0,1.0
0.0,0.0,0.4158249,1.4527228,123.0,1.0
0.0,0.0,0.4158249,1.4527229,124.0,1.0
0.0,0.0,0.4158249,1.4527229,125.0,1.0
0.0,0.0,0.4158249,1.4527229,126.0,1.0
0.0,0.0,0.4158249,1.4527229,127.0,1.0
0.0,0.0,0.4158249,1.4527229,128.0,1.0
0.0,0.0,0.4158249,1.4527229,129.0,1.0
0.0,0.0,0.4158249,1.4527229,130.0,1.0
0.0,0.0,0.4158249,1.4527229,131.0,1.0
0.0,0.0,0.4158249,1.4527229,132.0,1.0
0.0,0.0,0.4158249,1.4527229,133.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,134.0,1.0
0.0,0.0,0.4158249,1.4527229,135.0,1.0
0.0,0.0,0.4158249,1.4527229,136.0,1.0
0.0,0.0,0.4158249,1.4527228,137.0,1.0
1.9073486e-06,0.0,0.4158249,1.4527229,138.0,1.0
