complexity,accuracy,distortion,mse,round,run
6.948805,0.2243948,0.19143009,1.449907,0.0,1.0
0.32322788,0.0716753,0.3441496,1.3953147,1.0,1.0
0.14766884,0.040579796,0.3752451,1.4130391,2.0,1.0
0.10142803,0.02991867,0.38590622,1.4204968,3.0,1.0
0.08370209,0.02521038,0.3906145,1.4241123,4.0,1.0
0.0749588,0.022731781,0.3930931,1.4261333,5.0,1.0
0.06994057,0.021268845,0.39455605,1.4273634,6.0,1.0
0.06681728,0.020349503,0.3954754,1.428147,7.0,1.0
0.06480026,0.019755363,0.39606953,1.4286554,8.0,1.0
0.06348324,0.019367218,0.39645767,1.4289856,9.0,1.0
0.06262684,0.019112587,0.3967123,1.4291956,10.0,1.0
0.062086105,0.018954277,0.3968706,1.4293239,11.0,1.0
0.06175995,0.01885891,0.39696598,1.4293958,12.0,1.0
0.06158638,0.018811226,0.39701366,1.4294292,13.0,1.0
0.061510086,0.018791199,0.3970337,1.4294366,14.0,1.0
0.061504364,0.018788338,0.39703655,1.4294271,15.0,1.0
0.061540604,0.018802643,0.39702225,1.4294076,16.0,1.0
0.061603546,0.018821716,0.39700317,1.4293817,17.0,1.0
0.06167984,0.018844604,0.3969803,1.4293537,18.0,1.0
0.061760902,0.018870354,0.39695454,1.429325,19.0,1.0
0.061844826,0.018896103,0.3969288,1.4292977,20.0,1.0
0.061920166,0.018918037,0.39690685,1.429272,21.0,1.0
0.061990738,0.018939972,0.39688492,1.4292493,22.0,1.0
0.062055588,0.01896,0.3968649,1.4292291,23.0,1.0
0.062107086,0.018976212,0.39684868,1.4292121,24.0,1.0
0.06215477,0.01899147,0.39683342,1.4291977,25.0,1.0
0.062191963,0.01900196,0.39682293,1.4291862,26.0,1.0
0.062220573,0.01900959,0.3968153,1.4291769,27.0,1.0
0.06224537,0.019019127,0.39680576,1.4291698,28.0,1.0
0.062262535,0.019021034,0.39680386,1.4291645,29.0,1.0
0.062275887,0.019025803,0.3967991,1.4291608,30.0,1.0
0.062283516,0.01902771,0.39679718,1.4291581,31.0,1.0
0.062289238,0.019030571,0.39679432,1.4291568,32.0,1.0
0.06229019,0.019032478,0.3967924,1.429156,33.0,1.0
0.062291145,0.019032478,0.3967924,1.4291558,34.0,1.0
0.06229019,0.019031525,0.39679337,1.4291561,35.0,1.0
0.062289238,0.019028664,0.39679623,1.4291569,36.0,1.0
0.062285423,0.019028664,0.39679623,1.4291576,37.0,1.0
0.06228161,0.019030571,0.39679432,1.4291584,38.0,1.0
0.0622797,0.019026756,0.39679813,1.4291595,39.0,1.0
0.062275887,0.019026756,0.39679813,1.4291606,40.0,1.0
0.062273026,0.019024849,0.39680004,1.4291617,41.0,1.0
0.062270164,0.019023895,0.396801,1.4291624,42.0,1.0
0.06226635,0.019023895,0.396801,1.4291633,43.0,1.0
0.062262535,0.019022942,0.39680195,1.4291643,44.0,1.0
0.062262535,0.019021988,0.3968029,1.429165,45.0,1.0
0.062257767,0.019021988,0.3968029,1.4291658,46.0,1.0
0.06225586,0.01902008,0.3968048,1.4291664,47.0,1.0
0.062254906,0.019021988,0.3968029,1.4291669,48.0,1.0
0.062253,0.01902008,0.3968048,1.4291673,49.0,1.0
0.06225109,0.019018173,0.39680672,1.4291677,50.0,1.0
0.06225109,0.019018173,0.39680672,1.4291682,51.0,1.0
0.06224823,0.019019127,0.39680576,1.4291686,52.0,1.0
0.062246323,0.019018173,0.39680672,1.4291688,53.0,1.0
0.062247276,0.01901722,0.39680767,1.4291692,54.0,1.0
0.06224537,0.019018173,0.39680672,1.4291694,55.0,1.0
0.062244415,0.019018173,0.39680672,1.4291695,56.0,1.0
0.062244415,0.019018173,0.39680672,1.4291699,57.0,1.0
0.062244415,0.019018173,0.39680672,1.4291699,58.0,1.0
0.06224346,0.019016266,0.39680862,1.4291704,59.0,1.0
0.06224346,0.019018173,0.39680672,1.4291704,60.0,1.0
0.06224346,0.01901722,0.39680767,1.4291705,61.0,1.0
0.062242508,0.019016266,0.39680862,1.4291705,62.0,1.0
0.06224346,0.019016266,0.39680862,1.4291706,63.0,1.0
0.0622406,0.01901722,0.39680767,1.4291706,64.0,1.0
0.0622406,0.019016266,0.39680862,1.4291706,65.0,1.0
0.0622406,0.019016266,0.39680862,1.4291707,66.0,1.0
