complexity,accuracy,distortion,mse,round,run
0.6963196,0.002325058,0.41349983,1.4524312,0.0,1.0
0.67326736,0.00233078,0.4134941,1.45133,1.0,1.0
0.6654768,0.0023708344,0.41345406,1.4502046,2.0,1.0
0.6606369,0.002439499,0.4133854,1.4490534,3.0,1.0
0.6571951,0.0025367737,0.41328812,1.4478744,4.0,1.0
0.65461826,0.002664566,0.41316032,1.4466661,5.0,1.0
0.6526747,0.002822876,0.413002,1.4454277,6.0,1.0
0.6512337,0.0030097961,0.4128151,1.4441581,7.0,1.0
0.6502209,0.003232956,0.41259193,1.4428571,8.0,1.0
0.64958954,0.0034885406,0.41233635,1.441525,9.0,1.0
0.6493063,0.0037841797,0.4120407,1.4401616,10.0,1.0
0.6493492,0.0041122437,0.41171265,1.4387673,11.0,1.0
0.649703,0.0044879913,0.4113369,1.4373431,12.0,1.0
0.65035915,0.0049057007,0.4109192,1.4358901,13.0,1.0
0.65130806,0.0053710938,0.4104538,1.434409,14.0,1.0
0.65254974,0.005887985,0.4099369,1.4329019,15.0,1.0
0.6540804,0.0064525604,0.40937233,1.43137,16.0,1.0
0.65590763,0.0070762634,0.40874863,1.4298155,17.0,1.0
0.6580267,0.007757187,0.4080677,1.4282401,18.0,1.0
0.6604481,0.0084991455,0.40732574,1.4266466,19.0,1.0
0.66317177,0.009304047,0.40652084,1.4250365,20.0,1.0
0.66620445,0.010175705,0.4056492,1.4234127,21.0,1.0
0.66955376,0.011116028,0.40470886,1.4217774,22.0,1.0
0.67322254,0.012125015,0.40369987,1.4201331,23.0,1.0
0.67721653,0.013210297,0.4026146,1.4184823,24.0,1.0
0.6815376,0.014368057,0.40145683,1.4168277,25.0,1.0
0.6861973,0.015602112,0.40022278,1.4151709,26.0,1.0
0.6911955,0.016910553,0.39891434,1.4135144,27.0,1.0
0.696537,0.018302917,0.39752197,1.4118607,28.0,1.0
0.7022238,0.019765854,0.39605904,1.4102114,29.0,1.0
0.7082596,0.021308899,0.394516,1.408568,30.0,1.0
0.7146435,0.022930145,0.39289474,1.4069324,31.0,1.0
0.72138023,0.024629593,0.3911953,1.4053056,32.0,1.0
0.728467,0.026405334,0.38941956,1.4036889,33.0,1.0
0.7359047,0.028253555,0.38757133,1.402083,34.0,1.0
0.7436924,0.030176163,0.38564873,1.4004886,35.0,1.0
0.75182724,0.032173157,0.38365173,1.398906,36.0,1.0
0.7603111,0.034238815,0.38158607,1.3973352,37.0,1.0
0.7691393,0.036375046,0.37944984,1.3957764,38.0,1.0
0.7783079,0.03857422,0.37725067,1.3942289,39.0,1.0
0.7878132,0.040836334,0.37498856,1.3926923,40.0,1.0
0.797657,0.0431633,0.3726616,1.3911664,41.0,1.0
0.8078346,0.045547485,0.3702774,1.38965,42.0,1.0
0.8183346,0.04798889,0.367836,1.3881422,43.0,1.0
0.8291645,0.050483704,0.3653412,1.386642,44.0,1.0
0.8403168,0.053030014,0.36279488,1.3851483,45.0,1.0
0.85178375,0.05562401,0.36020088,1.3836595,46.0,1.0
0.8635664,0.0582695,0.3575554,1.3821747,47.0,1.0
0.87565994,0.06095314,0.35487175,1.3806925,48.0,1.0
0.8880596,0.06368065,0.35214424,1.3792114,49.0,1.0
0.90076447,0.0664444,0.3493805,1.3777304,50.0,1.0
0.91376877,0.0692482,0.3465767,1.3762476,51.0,1.0
0.9270716,0.07208252,0.34374237,1.3747623,52.0,1.0
0.9406681,0.074949265,0.34087563,1.373273,53.0,1.0
0.95455074,0.07784653,0.33797836,1.3717784,54.0,1.0
0.9687252,0.08077431,0.33505058,1.3702773,55.0,1.0
0.98318005,0.08372307,0.33210182,1.3687685,56.0,1.0
0.9979172,0.08669472,0.32913017,1.3672513,57.0,1.0
1.0129328,0.089689255,0.32613564,1.3657247,58.0,1.0
1.0282183,0.09270096,0.32312393,1.3641875,59.0,1.0
1.0437737,0.09572983,0.32009506,1.3626393,60.0,1.0
1.0595961,0.09877586,0.31704903,1.3610795,61.0,1.0
1.0756836,0.101831436,0.31399345,1.3595071,62.0,1.0
1.0920296,0.10489845,0.31092644,1.3579222,63.0,1.0
1.1086264,0.1079731,0.3078518,1.356324,64.0,1.0
1.1254768,0.11105919,0.3047657,1.3547124,65.0,1.0
1.1425724,0.11414528,0.3016796,1.3530874,66.0,1.0
1.1599064,0.117239,0.2985859,1.3514489,67.0,1.0
1.1774778,0.12033272,0.29549217,1.349797,68.0,1.0
1.195282,0.123428345,0.29239655,1.3481317,69.0,1.0
1.2133102,0.12652016,0.28930473,1.3464533,70.0,1.0
1.2315559,0.12960815,0.28621674,1.3447626,71.0,1.0
1.2500172,0.13269234,0.28313255,1.3430598,72.0,1.0
1.2686863,0.1357708,0.2800541,1.3413451,73.0,1.0
1.2875528,0.13883972,0.27698517,1.3396199,74.0,1.0
1.3066139,0.1418972,0.2739277,1.3378844,75.0,1.0
1.3258591,0.14494514,0.27087975,1.3361398,76.0,1.0
1.3452854,0.14797783,0.26784706,1.3343868,77.0,1.0
1.3648787,0.15099907,0.26482582,1.3326265,78.0,1.0
1.3846378,0.15400314,0.26182175,1.3308598,79.0,1.0
1.4045467,0.15698624,0.25883865,1.3290879,80.0,1.0
1.4246044,0.15995407,0.25587082,1.3273116,81.0,1.0
1.4447975,0.16290283,0.25292206,1.3255327,82.0,1.0
1.4651194,0.1658268,0.2499981,1.3237516,83.0,1.0
1.4855576,0.16873169,0.2470932,1.3219705,84.0,1.0
1.5061073,0.1716137,0.2442112,1.3201896,85.0,1.0
1.5267563,0.17446709,0.2413578,1.3184108,86.0,1.0
1.5474968,0.17729568,0.2385292,1.316635,87.0,1.0
1.5683184,0.18009758,0.23572731,1.3148638,88.0,1.0
1.5892124,0.18287277,0.23295212,1.3130981,89.0,1.0
1.6101675,0.18561935,0.23020554,1.3113393,90.0,1.0
1.6311798,0.18833733,0.22748756,1.3095886,91.0,1.0
1.652236,0.19102383,0.22480106,1.3078469,92.0,1.0
1.6733255,0.19367886,0.22214603,1.3061156,93.0,1.0
1.6944427,0.19630623,0.21951866,1.3043956,94.0,1.0
1.715579,0.19889832,0.21692657,1.3026878,95.0,1.0
1.736723,0.20145988,0.214365,1.3009937,96.0,1.0
1.7578716,0.20398808,0.21183681,1.2993137,97.0,1.0
1.7790127,0.20648575,0.20933914,1.2976488,98.0,1.0
1.8001375,0.20894814,0.20687675,1.2959999,99.0,1.0
1.8212414,0.2113781,0.2044468,1.2943678,100.0,1.0
1.8423176,0.21377563,0.20204926,1.2927532,101.0,1.0
1.8633575,0.21614075,0.19968414,1.2911565,102.0,1.0
1.8843546,0.21846676,0.19735813,1.2895787,103.0,1.0
1.905303,0.22076893,0.19505596,1.2880197,104.0,1.0
1.926197,0.22303104,0.19279385,1.2864807,105.0,1.0
1.9470291,0.22526264,0.19056225,1.2849617,106.0,1.0
1.9677992,0.22745991,0.18836498,1.283463,107.0,1.0
1.9884949,0.22962475,0.18620014,1.2819853,108.0,1.0
2.009118,0.23175716,0.18406773,1.2805284,109.0,1.0
2.0296612,0.2338562,0.18196869,1.2790928,110.0,1.0
2.0501223,0.23592663,0.17989826,1.2776785,111.0,1.0
2.0704927,0.23796177,0.17786312,1.2762858,112.0,1.0
2.0907707,0.23996735,0.17585754,1.2749144,113.0,1.0
2.1109571,0.24194145,0.17388344,1.2735648,114.0,1.0
2.1310444,0.24388504,0.17193985,1.2722366,115.0,1.0
2.1510324,0.24580097,0.17002392,1.2709299,116.0,1.0
2.1709185,0.24768448,0.16814041,1.2696449,117.0,1.0
2.1906977,0.24953747,0.16628742,1.2683809,118.0,1.0
2.210369,0.25136375,0.16446114,1.2671382,119.0,1.0
2.2299337,0.25315952,0.16266537,1.2659166,120.0,1.0
2.249384,0.25492954,0.16089535,1.264716,121.0,1.0
2.2687225,0.25667095,0.15915394,1.2635357,122.0,1.0
2.2879486,0.2583847,0.15744019,1.2623761,123.0,1.0
2.3070574,0.2600727,0.15575218,1.2612365,124.0,1.0
2.3260517,0.261734,0.15409088,1.2601168,125.0,1.0
2.3449259,0.2633686,0.15245628,1.259017,126.0,1.0
2.3636818,0.2649765,0.15084839,1.2579362,127.0,1.0
2.3823204,0.26656055,0.14926434,1.2568747,128.0,1.0
2.4008389,0.26812077,0.14770412,1.2558317,129.0,1.0
2.4192343,0.26965714,0.14616776,1.2548075,130.0,1.0
2.4375114,0.2711687,0.14465618,1.2538011,131.0,1.0
2.4556656,0.2726593,0.14316559,1.2528127,132.0,1.0
2.4736986,0.27412033,0.14170456,1.2518418,133.0,1.0
2.4916124,0.2755642,0.1402607,1.2508882,134.0,1.0
2.5094013,0.27698326,0.13884163,1.2499514,135.0,1.0
2.52707,0.27838326,0.13744164,1.249031,136.0,1.0
2.5446138,0.27975845,0.13606644,1.2481269,137.0,1.0
2.5620394,0.28111458,0.13471031,1.2472384,138.0,1.0
2.57934,0.28245068,0.13337421,1.2463655,139.0,1.0
2.5965185,0.28376484,0.13206005,1.245508,140.0,1.0
2.613576,0.28505898,0.13076591,1.2446653,141.0,1.0
2.6305132,0.28633404,0.12949085,1.2438371,142.0,1.0
2.6473246,0.28759098,0.12823391,1.2430233,143.0,1.0
2.6640186,0.28882694,0.12699795,1.2422234,144.0,1.0
2.6805925,0.29004383,0.12578106,1.2414371,145.0,1.0
2.6970425,0.2912426,0.12458229,1.240664,146.0,1.0
2.713375,0.29242516,0.123399734,1.2399042,147.0,1.0
2.7295876,0.29358864,0.12223625,1.239157,148.0,1.0
2.7456799,0.294734,0.12109089,1.2384222,149.0,1.0
2.761653,0.29586315,0.11996174,1.2376996,150.0,1.0
2.7775078,0.29697323,0.11885166,1.236989,151.0,1.0
2.7932463,0.29807281,0.117752075,1.23629,152.0,1.0
2.8088675,0.2991495,0.11667538,1.2356021,153.0,1.0
2.8243704,0.3002138,0.11561108,1.2349256,154.0,1.0
2.839757,0.30126095,0.11456394,1.2342597,155.0,1.0
2.85503,0.30229378,0.11353111,1.2336046,156.0,1.0
2.870185,0.3033104,0.112514496,1.2329597,157.0,1.0
2.8852282,0.30431175,0.11151314,1.2323251,158.0,1.0
2.900158,0.3052969,0.11052799,1.2317002,159.0,1.0
2.9149723,0.3062725,0.10955238,1.2310848,160.0,1.0
2.929676,0.3072319,0.10859299,1.2304792,161.0,1.0
2.9442682,0.30817604,0.10764885,1.2298827,162.0,1.0
2.958747,0.30910587,0.10671902,1.2292949,163.0,1.0
2.9731178,0.3100233,0.10580158,1.2287163,164.0,1.0
2.9873781,0.3109274,0.1048975,1.2281461,165.0,1.0
3.0015297,0.31182003,0.10400486,1.2275842,166.0,1.0
3.0155735,0.3126974,0.10312748,1.2270306,167.0,1.0
3.0295105,0.3135643,0.10226059,1.226485,168.0,1.0
3.0433397,0.3144188,0.1014061,1.2259474,169.0,1.0
3.057065,0.31525898,0.10056591,1.2254173,170.0,1.0
3.0706844,0.31608963,0.09973526,1.2248946,171.0,1.0
3.0842009,0.31690693,0.09891796,1.2243795,172.0,1.0
3.0976143,0.31771278,0.09811211,1.2238714,173.0,1.0
