complexity,accuracy,distortion,mse,round,run
1.9073486e-06,0.0,0.4158249,1.4527327,0.0,1.0
1.9073486e-06,0.0,0.4158249,1.4533092,1.0,1.0
0.0,0.0,0.4158249,1.4528394,2.0,1.0
1.9073486e-06,0.0,0.4158249,1.4514571,3.0,1.0
7.6293945e-06,0.0,0.4158249,1.4493282,4.0,1.0
4.005432e-05,3.8146973e-06,0.41582108,1.4466227,5.0,1.0
0.00022697449,3.0517578e-05,0.41579437,1.4434897,6.0,1.0
0.0013542175,0.00019454956,0.41563034,1.4399456,7.0,1.0
0.008480072,0.0012950897,0.4145298,1.4352505,8.0,1.0
0.053487778,0.008480072,0.40734482,1.4241254,9.0,1.0
0.3012905,0.04871559,0.3671093,1.3795528,10.0,1.0
1.0167933,0.15668297,0.25914192,1.2836398,11.0,1.0
1.7558527,0.24423409,0.1715908,1.2174946,12.0,1.0
2.1726866,0.2781849,0.13764,1.1940893,13.0,1.0
2.4452791,0.29450798,0.12131691,1.1857746,14.0,1.0
2.6961432,0.30789948,0.107925415,1.181274,15.0,1.0
2.950924,0.32133198,0.09449291,1.1779437,16.0,1.0
3.2188444,0.3350687,0.08075619,1.1749958,17.0,1.0
3.5102015,0.3473196,0.06850529,1.1722715,18.0,1.0
3.8059244,0.35889435,0.056930542,1.1688324,19.0,1.0
4.0575647,0.36723518,0.048589706,1.1660837,20.0,1.0
4.234892,0.37191868,0.04390621,1.1649202,21.0,1.0
4.3942604,0.37559414,0.04023075,1.1643786,22.0,1.0
4.5328465,0.37825775,0.03756714,1.1638905,23.0,1.0
4.645152,0.38020802,0.035616875,1.1636664,24.0,1.0
4.7406425,0.38187122,0.033953667,1.1634588,25.0,1.0
4.8293076,0.38344193,0.032382965,1.1631408,26.0,1.0
4.9121428,0.38478947,0.031035423,1.1627188,27.0,1.0
4.9877872,0.38588333,0.029941559,1.1622417,28.0,1.0
5.057769,0.38683033,0.02899456,1.1618205,29.0,1.0
5.1206913,0.38764858,0.028176308,1.161413,30.0,1.0
5.1818867,0.3884449,0.02737999,1.1609824,31.0,1.0
5.241785,0.3892107,0.02661419,1.1605979,32.0,1.0
5.2977266,0.38991737,0.025907516,1.1602879,33.0,1.0
5.3480206,0.39055252,0.02527237,1.160028,34.0,1.0
5.392618,0.39110184,0.024723053,1.1598049,35.0,1.0
5.43169,0.3915758,0.024249077,1.1596236,36.0,1.0
5.4659424,0.39199352,0.023831367,1.1594812,37.0,1.0
5.4962435,0.3923664,0.02345848,1.1593741,38.0,1.0
5.524089,0.39271736,0.023107529,1.1593132,39.0,1.0
5.5525703,0.393075,0.0227499,1.1593051,40.0,1.0
5.582781,0.39342594,0.022398949,1.159312,41.0,1.0
5.611882,0.3937273,0.022097588,1.1593099,42.0,1.0
5.637905,0.39396572,0.021859169,1.159303,43.0,1.0
5.660693,0.39415836,0.021666527,1.159297,44.0,1.0
5.6807117,0.3943138,0.021511078,1.1592939,45.0,1.0
5.698407,0.3944502,0.021374702,1.1592926,46.0,1.0
5.7141037,0.39457798,0.02124691,1.1592907,47.0,1.0
5.72814,0.3947029,0.021121979,1.1592852,48.0,1.0
5.7410173,0.39483833,0.020986557,1.1592729,49.0,1.0
5.75334,0.39497852,0.020846367,1.1592525,50.0,1.0
5.7653227,0.39510822,0.020716667,1.159224,51.0,1.0
5.7767096,0.39520645,0.020618439,1.1591873,52.0,1.0
5.78732,0.39527512,0.020549774,1.1591415,53.0,1.0
5.7972927,0.39532566,0.02049923,1.1590855,54.0,1.0
5.8069344,0.39536953,0.02045536,1.1590195,55.0,1.0
5.8165236,0.39541817,0.020406723,1.1589453,56.0,1.0
5.826187,0.39547443,0.020350456,1.1588668,57.0,1.0
5.835889,0.3955412,0.020283699,1.1587878,58.0,1.0
5.845504,0.3956213,0.02020359,1.1587126,59.0,1.0
5.854912,0.3957014,0.020123482,1.1586442,60.0,1.0
5.8640537,0.39578342,0.020041466,1.1585846,61.0,1.0
5.8729086,0.39586544,0.01995945,1.158535,62.0,1.0
5.881481,0.39594173,0.019883156,1.158495,63.0,1.0
5.889784,0.3960142,0.019810677,1.1584638,64.0,1.0
5.8978233,0.39608288,0.019742012,1.1584405,65.0,1.0
5.9056044,0.39614296,0.01968193,1.1584232,66.0,1.0
5.9131346,0.39620304,0.019621849,1.1584108,67.0,1.0
5.9204283,0.3962555,0.019569397,1.1584015,68.0,1.0
5.927512,0.396307,0.019517899,1.1583942,69.0,1.0
5.9344444,0.39635372,0.019471169,1.1583875,70.0,1.0
5.9413147,0.3963995,0.019425392,1.15838,71.0,1.0
5.948245,0.39644718,0.019377708,1.1583709,72.0,1.0
5.955344,0.39650345,0.019321442,1.1583598,73.0,1.0
5.962638,0.39656448,0.019260406,1.1583475,74.0,1.0
5.970028,0.39662838,0.01919651,1.1583356,75.0,1.0
5.9773254,0.39669323,0.01913166,1.1583251,76.0,1.0
5.984354,0.39675236,0.019072533,1.1583167,77.0,1.0
5.991022,0.3968029,0.019021988,1.1583104,78.0,1.0
5.997319,0.39684963,0.018975258,1.158306,79.0,1.0
6.0033064,0.3968954,0.018929482,1.1583036,80.0,1.0
6.0091095,0.39694214,0.018882751,1.1583029,81.0,1.0
6.0148945,0.39699268,0.018832207,1.1583028,82.0,1.0
6.020809,0.39704895,0.01877594,1.1582994,83.0,1.0
6.026883,0.39711,0.018714905,1.1582892,84.0,1.0
6.032983,0.39717388,0.018651009,1.1582706,85.0,1.0
6.0389013,0.39723206,0.018592834,1.158245,86.0,1.0
6.0444536,0.39728165,0.018543243,1.158215,87.0,1.0
6.049528,0.39731884,0.01850605,1.158184,88.0,1.0
6.0540705,0.3973503,0.018474579,1.1581546,89.0,1.0
6.058111,0.39736462,0.018460274,1.158128,90.0,1.0
6.0618086,0.39737415,0.018450737,1.1581048,91.0,1.0
6.0654163,0.39737797,0.018446922,1.158085,92.0,1.0
6.0691147,0.39739037,0.018434525,1.1580682,93.0,1.0
6.0728455,0.39740562,0.018419266,1.158054,94.0,1.0
6.0764074,0.3974228,0.0184021,1.1580423,95.0,1.0
6.0796347,0.39743805,0.01838684,1.1580318,96.0,1.0
6.0824766,0.39745045,0.018374443,1.1580224,97.0,1.0
6.084957,0.39745998,0.018364906,1.1580131,98.0,1.0
6.087117,0.39746857,0.018356323,1.1580038,99.0,1.0
6.0890036,0.39747524,0.018349648,1.1579939,100.0,1.0
6.090644,0.39748192,0.018342972,1.1579831,101.0,1.0
6.0920563,0.39748955,0.018335342,1.1579709,102.0,1.0
6.0932684,0.39749813,0.01832676,1.1579572,103.0,1.0
6.0943203,0.3975067,0.018318176,1.1579411,104.0,1.0
6.0952883,0.39751816,0.018306732,1.1579226,105.0,1.0
6.0962887,0.39753437,0.01829052,1.1579014,106.0,1.0
6.0974407,0.3975563,0.018268585,1.1578783,107.0,1.0
6.098817,0.39758205,0.018242836,1.1578537,108.0,1.0
6.1003933,0.3976097,0.01821518,1.1578292,109.0,1.0
6.1020737,0.39763737,0.018187523,1.1578057,110.0,1.0
6.1037397,0.3976612,0.018163681,1.1577833,111.0,1.0
6.105297,0.39768124,0.018143654,1.1577616,112.0,1.0
6.106679,0.39769936,0.018125534,1.1577404,113.0,1.0
6.1078186,0.3977146,0.018110275,1.1577193,114.0,1.0
6.108589,0.39773083,0.018094063,1.1576984,115.0,1.0
6.108778,0.39775276,0.018072128,1.1576797,116.0,1.0
6.108388,0.39780617,0.018018723,1.1576688,117.0,1.0
6.1087236,0.39791965,0.017905235,1.1576691,118.0,1.0
6.1108723,0.39804363,0.017781258,1.1576622,119.0,1.0
6.1133394,0.39810658,0.017718315,1.1576387,120.0,1.0
6.115404,0.39813042,0.017694473,1.157609,121.0,1.0
6.117258,0.3981409,0.017683983,1.1575811,122.0,1.0
6.11901,0.3981514,0.017673492,1.157558,123.0,1.0
6.120654,0.3981619,0.017663002,1.1575401,124.0,1.0
6.122176,0.39816952,0.017655373,1.1575267,125.0,1.0
6.123582,0.39817905,0.017645836,1.1575174,126.0,1.0
6.124901,0.39818764,0.017637253,1.1575115,127.0,1.0
6.1261673,0.39819336,0.01763153,1.1575084,128.0,1.0
6.1274137,0.39820194,0.017622948,1.1575077,129.0,1.0
6.128668,0.39820957,0.017615318,1.1575093,130.0,1.0
6.1299505,0.3982172,0.017607689,1.1575131,131.0,1.0
6.131276,0.39822388,0.017601013,1.1575189,132.0,1.0
6.1326466,0.3982277,0.017597198,1.157526,133.0,1.0
6.134058,0.39823627,0.017588615,1.1575347,134.0,1.0
6.135497,0.3982439,0.017580986,1.1575445,135.0,1.0
6.1369476,0.3982544,0.017570496,1.1575549,136.0,1.0
6.1383886,0.39826202,0.017562866,1.1575657,137.0,1.0
6.139805,0.39826584,0.017559052,1.1575766,138.0,1.0
6.141182,0.39827156,0.01755333,1.1575875,139.0,1.0
6.1425076,0.39827728,0.017547607,1.157598,140.0,1.0
6.1437807,0.398283,0.017541885,1.1576083,141.0,1.0
6.1450005,0.39828777,0.017537117,1.157618,142.0,1.0
6.1461725,0.3982935,0.017531395,1.1576272,143.0,1.0
6.1473026,0.39829826,0.017526627,1.1576359,144.0,1.0
6.1484003,0.39830208,0.017522812,1.1576442,145.0,1.0
6.149474,0.39830685,0.017518044,1.1576517,146.0,1.0
6.1505327,0.39831352,0.017511368,1.1576587,147.0,1.0
6.1515875,0.3983183,0.0175066,1.1576653,148.0,1.0
6.152643,0.398324,0.017500877,1.1576712,149.0,1.0
6.1537046,0.39832878,0.017496109,1.1576767,150.0,1.0
6.1547775,0.3983364,0.01748848,1.157682,151.0,1.0
6.1558647,0.39834213,0.017482758,1.1576865,152.0,1.0
6.1569633,0.39834785,0.017477036,1.1576908,153.0,1.0
6.1580725,0.39835453,0.01747036,1.1576949,154.0,1.0
6.159193,0.39836025,0.017464638,1.1576984,155.0,1.0
6.1603174,0.39836693,0.017457962,1.1577015,156.0,1.0
6.1614428,0.3983736,0.017451286,1.1577044,157.0,1.0
6.162569,0.39837933,0.017445564,1.1577067,158.0,1.0
6.1636906,0.3983841,0.017440796,1.157709,159.0,1.0
6.1648073,0.39839077,0.01743412,1.1577109,160.0,1.0
6.1659184,0.39839458,0.017430305,1.1577126,161.0,1.0
6.1670275,0.3984003,0.017424583,1.1577139,162.0,1.0
6.1681366,0.39840794,0.017416954,1.1577153,163.0,1.0
6.1692486,0.3984108,0.017414093,1.1577164,164.0,1.0
6.1703672,0.39841557,0.017409325,1.1577175,165.0,1.0
6.1715,0.39841843,0.017406464,1.1577184,166.0,1.0
6.1726503,0.3984232,0.017401695,1.1577196,167.0,1.0
6.1738224,0.39842987,0.01739502,1.1577206,168.0,1.0
6.1750174,0.39843464,0.017390251,1.1577219,169.0,1.0
6.176235,0.3984375,0.01738739,1.1577232,170.0,1.0
6.177473,0.3984413,0.017383575,1.1577247,171.0,1.0
6.1787214,0.39844704,0.017377853,1.1577263,172.0,1.0
6.179965,0.39845085,0.017374039,1.1577277,173.0,1.0
6.1811924,0.39845848,0.01736641,1.1577294,174.0,1.0
6.1823816,0.3984604,0.017364502,1.1577307,175.0,1.0
6.1835165,0.3984642,0.017360687,1.1577319,176.0,1.0
6.1845827,0.39846802,0.017356873,1.1577328,177.0,1.0
