complexity,accuracy,distortion,mse,round,run
0.0,0.0,0.028506279,2.2614198,0.0,1.0
0.0,0.0,0.028506279,2.2614198,1.0,1.0
0.0,0.0,0.028506279,2.2614198,2.0,1.0
0.0,0.0,0.028506279,2.2614198,3.0,1.0
2.3841858e-07,0.0,0.02850604,2.2614195,4.0,1.0
0.0,0.0,0.02850604,2.2614198,5.0,1.0
2.3841858e-07,0.0,0.028506517,2.2614198,6.0,1.0
0.0,0.0,0.02850604,2.2614198,7.0,1.0
0.0,0.0,0.02850604,2.2614198,8.0,1.0
0.0,0.0,0.028506517,2.2614198,9.0,1.0
0.0,0.0,0.02850604,2.2614198,10.0,1.0
0.0,0.0,0.028506279,2.2614198,11.0,1.0
2.3841858e-07,0.0,0.02850604,2.2614198,12.0,1.0
1.9073486e-06,0.0,0.02850604,2.2614198,13.0,1.0
1.4781952e-05,2.3841858e-07,0.028505802,2.2614205,14.0,1.0
0.00010204315,4.7683716e-07,0.028505564,2.2614245,15.0,1.0
0.000698328,4.2915344e-06,0.028501749,2.2614527,16.0,1.0
0.0046446323,2.7418137e-05,0.028478622,2.2616363,17.0,1.0
0.026355267,0.0001475811,0.02835846,2.2625737,18.0,1.0
0.07742882,0.00035953522,0.028146505,2.2642305,19.0,1.0
0.09268713,0.00039601326,0.028110027,2.2645152,20.0,1.0
0.09277415,0.00039625168,0.028109789,2.2645159,21.0,1.0
0.0,0.0,0.028506279,2.2614198,0.0,2.0
2.3841858e-07,0.0,0.028506279,2.2614198,1.0,2.0
0.0,2.3841858e-07,0.028505802,2.2614195,2.0,2.0
0.0,0.0,0.028506279,2.2614198,3.0,2.0
0.0,0.0,0.02850604,2.2614198,4.0,2.0
0.0,0.0,0.02850604,2.2614198,5.0,2.0
0.0,0.0,0.02850604,2.2614198,6.0,2.0
0.0,0.0,0.02850604,2.2614198,7.0,2.0
0.0,0.0,0.028506279,2.2614198,8.0,2.0
0.0,0.0,0.02850604,2.2614198,9.0,2.0
0.0,0.0,0.028506517,2.2614198,10.0,2.0
9.536743e-07,0.0,0.02850604,2.2614198,11.0,2.0
6.198883e-06,2.3841858e-07,0.028505802,2.2614202,12.0,2.0
4.339218e-05,1.4305115e-06,0.02850461,2.2614233,13.0,2.0
0.00029683113,1.001358e-05,0.028496027,2.2614436,14.0,2.0
0.0020217896,6.866455e-05,0.028437376,2.2615824,15.0,2.0
0.013303757,0.00044727325,0.028058767,2.2624683,16.0,2.0
0.07146621,0.002308607,0.026197433,2.2664456,17.0,2.0
0.20039177,0.005980253,0.022525787,2.2712042,18.0,2.0
0.4203024,0.010900497,0.017605543,2.2709165,19.0,2.0
0.8588095,0.016446352,0.012059689,2.2689872,20.0,2.0
0.97047853,0.017193079,0.011312962,2.26867,21.0,2.0
0.9709506,0.01719451,0.011311531,2.2686696,22.0,2.0
0.0,0.0,0.02850604,2.2614198,0.0,3.0
0.0,0.0,0.02850604,2.2614198,1.0,3.0
0.0,0.0,0.028506279,2.2614198,2.0,3.0
0.0,0.0,0.02850604,2.2614198,3.0,3.0
0.0,0.0,0.02850604,2.2614198,4.0,3.0
0.0,0.0,0.02850604,2.2614198,5.0,3.0
2.3841858e-07,0.0,0.028506279,2.2614198,6.0,3.0
1.9073486e-06,0.0,0.028506279,2.2614198,7.0,3.0
1.3828278e-05,0.0,0.02850604,2.2614198,8.0,3.0
9.536743e-05,0.0,0.028506279,2.2614186,9.0,3.0
0.00065279007,2.3841858e-07,0.028505802,2.261412,10.0,3.0
0.0044038296,1.4305115e-06,0.02850461,2.2613647,11.0,3.0
0.027275324,1.6212463e-05,0.028489828,2.2610135,12.0,3.0
0.114673376,0.00024986267,0.028256178,2.2587118,13.0,3.0
0.25888753,0.0016932487,0.026812792,2.2531576,14.0,3.0
0.5609665,0.0049438477,0.023562193,2.2453458,15.0,3.0
0.9555292,0.0076315403,0.0208745,2.2399023,16.0,3.0
0.9999702,0.0077900887,0.020715952,2.2395966,17.0,3.0
0.0,0.0,0.028506279,2.2614198,0.0,4.0
4.7683716e-07,0.0,0.028506279,2.2614198,1.0,4.0
0.0,0.0,0.02850604,2.2614198,2.0,4.0
2.3841858e-07,0.0,0.02850604,2.2614198,3.0,4.0
1.9073486e-06,0.0,0.02850604,2.2614198,4.0,4.0
1.2636185e-05,2.3841858e-07,0.028505802,2.2614202,5.0,4.0
8.559227e-05,1.1920929e-06,0.028504848,2.2614226,6.0,4.0
0.0005848408,7.390976e-06,0.02849865,2.261439,7.0,4.0
0.0039544106,5.030632e-05,0.028455734,2.2615497,8.0,4.0
0.024832487,0.00028276443,0.028223276,2.2622285,9.0,4.0
0.11378217,0.0007376671,0.027768373,2.2647638,10.0,4.0
0.35711908,0.00028681755,0.028219223,2.26622,11.0,4.0
0.82119167,0.0002245903,0.02828145,2.2626195,12.0,4.0
0.96980834,0.00032615662,0.028179884,2.2617826,13.0,4.0
0.9709506,0.00032687187,0.028179169,2.2617798,14.0,4.0
4.7683716e-06,2.3841858e-07,0.028505802,2.2614198,0.0,5.0
9.059906e-06,0.0,0.02850604,2.2614193,1.0,5.0
6.41346e-05,0.0,0.02850604,2.2614183,2.0,5.0
0.0004439354,9.536743e-07,0.028505087,2.2614102,3.0,5.0
0.0030298233,4.7683716e-06,0.028501272,2.2613554,4.0,5.0
0.019957066,3.862381e-05,0.028467417,2.2609744,5.0,5.0
0.11005378,0.00037932396,0.028126717,2.2584682,6.0,5.0
0.4073887,0.0031194687,0.025386572,2.249343,7.0,5.0
0.8900776,0.007289171,0.02121687,2.240548,8.0,5.0
0.99958456,0.0077893734,0.020716667,2.2395983,9.0,5.0
1.0,0.0077900887,0.020715952,2.2395966,10.0,5.0
0.0023868084,3.886223e-05,0.028467178,2.261602,0.0,6.0
0.0040133,9.059906e-06,0.02849698,2.261539,1.0,6.0
0.025408983,1.04904175e-05,0.02849555,2.261734,2.0,6.0
0.15442276,3.6478043e-05,0.028469563,2.2626805,3.0,6.0
0.6002877,0.00013041496,0.028375626,2.2631378,4.0,6.0
0.9520184,0.00031518936,0.028190851,2.2618642,5.0,6.0
0.97094667,0.00032687187,0.028179169,2.2617798,6.0,6.0
0.9709506,0.00032687187,0.028179169,2.2617798,7.0,6.0
0.9709506,0.00032687187,0.028179169,2.2617798,8.0,6.0
0.9709506,0.00032687187,0.028179169,2.2617798,9.0,6.0
0.9709506,0.00032687187,0.028179169,2.2617798,10.0,6.0
0.8955889,0.0007510185,0.027755022,2.2602277,0.0,7.0
0.851437,0.00030183792,0.028204203,2.261787,1.0,7.0
0.92345595,0.00030231476,0.028203726,2.2619505,2.0,7.0
0.9704962,0.00032639503,0.028179646,2.2617812,3.0,7.0
0.9709506,0.00032687187,0.028179169,2.2617798,4.0,7.0
0.9709506,0.00032687187,0.028179169,2.2617798,5.0,7.0
0.9709506,0.00032687187,0.028179169,2.2617798,6.0,7.0
0.9709506,0.00032687187,0.028179169,2.2617798,7.0,7.0
0.9709506,0.00032687187,0.028179169,2.2617798,8.0,7.0
0.9709506,0.00032687187,0.028179169,2.2617798,9.0,7.0
0.9709506,0.00032687187,0.028179169,2.2617798,10.0,7.0
0.9709506,0.00032687187,0.028179169,2.2617798,11.0,7.0
0.9709506,0.01719451,0.011311531,2.2686696,0.0,8.0
0.43406805,0.0011765611,0.02732948,2.267369,1.0,8.0
