complexity,mse
0.0,0.75
0.0,0.7459235
7.1525574e-07,0.7418473
7.1525574e-07,0.7377773
1.66893e-06,0.7337189
2.3841858e-06,0.7296775
3.33786e-06,0.7256585
4.7683716e-06,0.7216673
6.198883e-06,0.71770906
7.867813e-06,0.7137886
1.0251999e-05,0.70991063
1.21593475e-05,0.7060796
1.4543533e-05,0.7022998
1.7404556e-05,0.6985749
2.0503998e-05,0.6949092
2.336502e-05,0.69130564
2.6464462e-05,0.68776727
3.027916e-05,0.6842972
3.4093857e-05,0.68089795
3.8146973e-05,0.6775712
4.2676926e-05,0.6743191
4.696846e-05,0.67114365
5.197525e-05,0.66804564
5.6505203e-05,0.66502607
6.222725e-05,0.6620858
6.723404e-05,0.6592254
7.2956085e-05,0.65644515
7.915497e-05,0.653745
8.511543e-05,0.6511246
9.1552734e-05,0.64858335
9.8228455e-05,0.646121
0.000104904175,0.6437368
0.000111579895,0.6414293
0.00011897087,0.6391977
0.00012660027,0.63704085
0.00013422966,0.63495725
0.00014209747,0.63294554
0.0001502037,0.631004
0.00015854836,0.6291313
0.00016736984,0.6273253
0.00017619133,0.62558496
0.00018525124,0.6239078
0.00019431114,0.62229246
0.0002040863,0.6207369
0.00021338463,0.61923945
0.00022339821,0.6177982
0.00023341179,0.6164111
0.00024366379,0.61507666
0.0002541542,0.6137928
0.00026488304,0.61255777
0.00027608871,0.6113701
0.00028681755,0.6102276
0.00029850006,0.6091288
0.00030994415,0.6080719
0.00032186508,0.6070554
0.00033402443,0.60607755
0.0003466606,0.6051369
0.00035881996,0.6042318
0.00037145615,0.60336083
0.00038433075,0.6025226
0.00039744377,0.6017157
0.0004105568,0.60093874
0.00042414665,0.6001905
0.00043821335,0.5994697
0.00045228004,0.598775
0.00046634674,0.59810543
0.00048017502,0.5974598
0.0004954338,0.5968369
0.00051021576,0.59623575
0.0005249977,0.5956555
0.0005402565,0.59509504
0.0005559921,0.5945535
0.00057172775,0.59402996
0.0005879402,0.5935236
0.00060391426,0.5930336
0.0006198883,0.5925592
0.000636816,0.5920998
0.0006532669,0.5916543
0.00067043304,0.5912224
0.0006875992,0.59080327
0.000705719,0.5903964
0.00072312355,0.59000117
0.00074100494,0.5896169
0.00075912476,0.5892431
0.00077724457,0.58887935
0.00079607964,0.5885251
0.0008146763,0.58817995
0.00083351135,0.5878433
0.00085282326,0.5875148
0.0008723736,0.58719414
0.0008919239,0.58688086
0.00091171265,0.58657455
0.0009317398,0.5862749
0.0009522438,0.5859816
0.0009725094,0.5856944
0.0009934902,0.58541274
0.0010147095,0.58513665
0.0010354519,0.5848657
0.0010569096,0.5845996
0.0010786057,0.5843382
0.0011005402,0.5840813
0.0011224747,0.58382845
0.001144886,0.58357966
0.0011675358,0.5833347
0.0011901855,0.5830933
0.0012130737,0.5828552
0.0012362003,0.5826205
0.0012595654,0.5823889
0.0012831688,0.5821601
0.0013067722,0.5819342
0.0013313293,0.5817108
0.0013549328,0.58149004
0.0013797283,0.5812715
0.0014042854,0.58105534
0.0014295578,0.5808413
0.0014543533,0.58062935
0.0014796257,0.5804192
0.0015053749,0.5802109
0.0015311241,0.5800045
0.0015571117,0.57979965
0.0015835762,0.5795964
0.0016098022,0.5793946
0.0016367435,0.5791942
0.0016634464,0.57899517
0.0016906261,0.5787974
0.0017178059,0.5786009
0.001745224,0.57840544
0.0017728806,0.5782111
0.001801014,0.57801783
0.0018291473,0.5778255
0.0018577576,0.5776342
0.0018861294,0.5774437
0.001914978,0.5772541
0.0019443035,0.5770652
0.0019733906,0.576896
0.002002716,0.5767174
0.0020325184,0.5765389
0.0020627975,0.5763607
0.0020928383,0.5761922
0.0021231174,0.5760144
0.0021538734,0.57583666
0.0021848679,0.57565916
0.0022156239,0.57548183
0.0022468567,0.57530475
0.002278328,0.5751374
0.002310276,0.5749606
0.0023419857,0.5747839
0.0023741722,0.57460743
0.0024063587,0.5744311
0.0024392605,0.574255
0.0024719238,0.57407904
0.002505064,0.5739032
0.0025382042,0.57372755
0.0025713444,0.57355195
0.0026049614,0.5733766
0.0026390553,0.57320136
0.0026729107,0.5730262
0.002707243,0.5728513
0.002742052,0.5726764
0.0027768612,0.5725018
0.002811432,0.5723272
0.0028467178,0.5721528
0.0028820038,0.5719689
0.0029177666,0.5717947
0.0029535294,0.57162064
0.002989769,0.5714467
0.0030260086,0.5712729
0.0030622482,0.5710992
0.0030989647,0.57092565
0.0031359196,0.5707426
0.0031728745,0.5705692
0.0032105446,0.570396
0.0032482147,0.57022285
0.0032856464,0.5700498
0.0033237934,0.56986743
0.003361702,0.5696946
0.0034000874,0.5695218
0.0034389496,0.5693492
0.0034778118,0.5691768
0.0035169125,0.56899476
0.0035562515,0.56882244
0.0035955906,0.56865025
0.0036354065,0.56847817
0.003674984,0.56829655
0.0037150383,0.56812465
0.0037555695,0.5679528
0.003796339,0.56777155
0.003837347,0.5675999
0.0038778782,0.56742835
0.0039196014,0.5672473
0.003960848,0.5670758
0.004002571,0.56690454
0.0040442944,0.5667238
0.004086256,0.56655264
0.004128456,0.56637216
0.0041713715,0.56620103
0.0042140484,0.56603014
0.0042567253,0.5658499
0.0043001175,0.5656791
0.0043435097,0.56550837
0.0043871403,0.56532824
0.004430771,0.5651578
0.00447464,0.5649873
0.004519224,0.5648074
0.0045633316,0.5646371
0.0046083927,0.5644574
0.0046532154,0.5642872
0.0046982765,0.56410766
0.0047433376,0.5639376
0.0047888756,0.5637677
0.004834652,0.5635883
0.0048806667,0.5634091
0.00492692,0.5632392
0.0049734116,0.5630696
0.005019903,0.56289047
0.0050668716,0.5627209
0.00511384,0.56254196
0.005161047,0.56237245
0.0052084923,0.5621937
0.005256176,0.56202435
0.005304098,0.56184566
0.0053522587,0.5616765
0.0054006577,0.5614979
0.005449295,0.5613288
0.005497694,0.56115043
0.00554657,0.5609814
0.005595684,0.5608031
0.005645275,0.56063426
0.005694866,0.5604561
0.0057446957,0.56028736
0.005795002,0.56010926
0.00584507,0.55994064
0.005895376,0.5597626
0.0059461594,0.5595942
0.005997181,0.5594163
0.0060482025,0.559248
0.0060994625,0.5590701
0.006150961,0.5588925
0.0062026978,0.55872416
0.006254673,0.55854666
0.0063066483,0.55837846
0.0063591003,0.5582011
0.006411791,0.558033
0.0064644814,0.5578556
0.0065174103,0.55768776
0.006570816,0.55751044
0.0066239834,0.55733323
0.006677866,0.5571655
0.006731987,0.55698836
0.0067858696,0.5568207
0.006840229,0.55664366
0.00689435,0.5564667
0.0069494247,0.5562991
0.0070044994,0.55612224
0.0070593357,0.5559455
0.0071148872,0.5557781
0.0071702003,0.55560136
0.0072259903,0.5554341
0.0072817802,0.55525744
0.0073382854,0.5550809
0.007394552,0.5549137
0.007451296,0.5547372
0.007508278,0.55456084
0.0075650215,0.55439377
0.0076224804,0.55421746
0.0076799393,0.55405045
0.0077376366,0.5538742
0.007795334,0.55369806
0.007853508,0.5535312
0.007911921,0.5533551
0.00797081,0.553179
0.0080292225,0.5530124
0.008087873,0.55283636
0.00814724,0.55266047
0.0082063675,0.55249393
0.008265972,0.552318
0.008326054,0.55214226
0.008386135,0.5519758
0.008446217,0.5518
0.0085065365,0.5516245
0.008567095,0.5514581
0.008628368,0.5512824
0.0086894035,0.5511069
0.008750439,0.55094075
0.008811712,0.5507653
0.008873701,0.5505899
0.00893569,0.5504238
0.008997679,0.55024844
0.009060144,0.55007315
0.00912261,0.549898
0.009185076,0.54973197
0.009248257,0.54955685
0.009311199,0.5493818
0.0093746185,0.5492159
0.009438276,0.54904085
0.009501934,0.5488659
0.00956583,0.54870015
0.009630203,0.5485252
0.009694576,0.54835033
0.009759426,0.5481849
0.009824276,0.54801
0.009889126,0.5478351
0.009954214,0.54766047
0.010020018,0.547495
0.010085344,0.54732037
0.010151148,0.5471457
0.01021719,0.54697126
0.01028347,0.5468059
0.010350227,0.54663134
0.010416746,0.546457
0.01048398,0.54629177
0.010550976,0.5461174
0.010618448,0.545943
0.010685682,0.54576874
0.01075387,0.54560375
0.010821581,0.54542947
0.010889769,0.5452553
0.010957956,0.5450812
0.011026859,0.5449163
0.011095524,0.5447421
0.011164665,0.54456806
0.011233568,0.54439414
0.011303186,0.5442294
0.011372805,0.54405534
0.011442661,0.54388154
0.011512518,0.5437077
0.01158309,0.5435431
0.011653185,0.54336923
0.011723995,0.5431955
0.011794567,0.54302186
0.011866093,0.54285735
0.01193738,0.5426837
0.012008667,0.5425101
0.01284194,0.5405528
0.012995243,0.5401946
0.0131495,0.5398457
0.013304949,0.5394878
0.013460636,0.5391301
0.013617754,0.5387815
0.0137758255,0.53842413
0.013934135,0.538076
0.014093876,0.5377188
0.014254332,0.537371
0.014415503,0.5370141
0.014577627,0.53665745
0.0147407055,0.53630996
0.0149047375,0.5359535
0.015069723,0.5356065
0.015235186,0.5352503
0.01540184,0.5348944
0.0155694485,0.5345476
0.015737772,0.53419197
0.015906572,0.5338456
0.016076803,0.5334902
0.01624775,0.53313494
0.01641941,0.53278893
0.016592026,0.532434
0.016765594,0.5320793
0.016940117,0.53173363
0.017115116,0.5313791
0.017291069,0.5310249
0.017468214,0.53067964
0.017646074,0.5303256
0.017824173,0.5299718
0.01800394,0.52962697
0.018184185,0.52927333
0.018365622,0.52892
0.018547773,0.5285756
0.018730402,0.5282224
0.018914223,0.52786946
0.019098997,0.52752554
0.019284487,0.52717274
0.019470692,0.52682024
0.01965785,0.5264768
0.019846201,0.5261245
0.02003479,0.52577233
0.02022481,0.52542937
0.020415068,0.52507746
0.02060628,0.52472574
0.020798445,0.52437425
0.020991802,0.52403176
0.021185875,0.52368045
0.021380424,0.5233294
0.021576405,0.52298737
0.021772623,0.52263653
0.021969795,0.5222859
