complexity,accuracy,distortion,mse,round,run
0.0,0.0,0.7540004,2.3104053,0.0,1.0
0.0,0.0,0.7540004,2.3104053,1.0,1.0
0.0,0.0,0.7540004,2.3104053,2.0,1.0
0.0,0.0,0.7540004,2.3104053,3.0,1.0
0.0,0.0,0.7540004,2.3104053,4.0,1.0
0.0,0.0,0.7540004,2.3104053,5.0,1.0
0.0,0.0,0.7540004,2.3104053,6.0,1.0
0.0,0.0,0.7540004,2.3104053,7.0,1.0
0.0,0.0,0.7540004,2.3104053,8.0,1.0
0.0,0.0,0.7540004,2.3104053,9.0,1.0
0.0,0.0,0.7540004,2.3104053,10.0,1.0
0.0,0.0,0.7540004,2.3104053,0.0,2.0
0.0,0.0,0.7540004,2.3104053,1.0,2.0
0.0,2.3841858e-07,0.7540002,2.3104053,2.0,2.0
0.0,2.3841858e-07,0.7540002,2.3104053,3.0,2.0
0.0,2.3841858e-07,0.7540002,2.3104053,4.0,2.0
0.0,0.0,0.7540004,2.3104053,5.0,2.0
0.0,0.0,0.7540004,2.3104053,6.0,2.0
0.0,0.0,0.7540004,2.3104053,7.0,2.0
0.0,0.0,0.7540004,2.3104053,8.0,2.0
0.0,0.0,0.7540004,2.3104053,9.0,2.0
9.536743e-07,2.3841858e-07,0.7540002,2.3104045,10.0,2.0
5.2452087e-06,2.6226044e-06,0.7539978,2.310401,11.0,2.0
3.671646e-05,1.7404556e-05,0.753983,2.3103766,12.0,2.0
0.00025177002,0.00012111664,0.7538793,2.3102098,13.0,2.0
0.00172472,0.00083088875,0.75316954,2.3090682,14.0,2.0
0.011731863,0.005645752,0.7483547,2.3013484,15.0,2.0
0.07647824,0.036432505,0.7175679,2.2530231,16.0,2.0
0.3892207,0.17445207,0.57954836,2.0615182,17.0,2.0
0.8887403,0.32687974,0.4271207,1.9459428,18.0,2.0
0.9964068,0.32935905,0.42464137,1.9923003,19.0,2.0
0.99999905,0.3290069,0.42499352,1.9944324,20.0,2.0
0.0,0.0,0.75400066,2.3104053,0.0,3.0
0.0,0.0,0.75400066,2.3104053,1.0,3.0
0.0,2.3841858e-07,0.7540002,2.3104053,2.0,3.0
0.0,0.0,0.7540004,2.3104053,3.0,3.0
0.0,0.0,0.75400066,2.3104053,4.0,3.0
0.0,0.0,0.7540004,2.3104053,5.0,3.0
0.0,0.0,0.7540004,2.3104053,6.0,3.0
1.4305115e-06,4.7683716e-07,0.75399995,2.3104048,7.0,3.0
9.298325e-06,3.0994415e-06,0.7539973,2.310403,8.0,3.0
6.389618e-05,2.193451e-05,0.7539785,2.3103905,9.0,3.0
0.0004389286,0.0001487732,0.75385165,2.3103025,10.0,3.0
0.0030031204,0.0010194778,0.75298095,2.3097005,11.0,3.0
0.020261526,0.006911993,0.74708843,2.3055,12.0,3.0
0.12556958,0.044090748,0.7099097,2.2746773,13.0,3.0
0.521888,0.19670463,0.5572958,2.1070619,14.0,3.0
0.8959291,0.32381845,0.43018198,1.9697675,15.0,3.0
0.97058916,0.32853365,0.42546678,1.9888196,16.0,3.0
0.99939024,0.32900167,0.42499876,1.9943811,17.0,3.0
1.0,0.3290069,0.42499352,1.9944327,18.0,3.0
0.0,0.0,0.75400066,2.3104053,0.0,4.0
0.0,0.0,0.75400066,2.3104053,1.0,4.0
0.0,0.0,0.7540009,2.3104053,2.0,4.0
2.3841858e-07,2.3841858e-07,0.7540002,2.310405,3.0,4.0
1.1920929e-06,7.1525574e-07,0.7539997,2.3104038,4.0,4.0
8.583069e-06,4.529953e-06,0.7539959,2.3103967,5.0,4.0
5.7697296e-05,3.1232834e-05,0.7539692,2.3103461,6.0,4.0
0.00039577484,0.00021409988,0.7537863,2.3100011,7.0,4.0
