complexity,accuracy,distortion,mse,round,run
0.43080044,0.1439662,1.7240686,6.0344486,0.0,1.0
0.008111477,0.0066947937,1.86134,6.284889,1.0,1.0
0.0008568764,0.0007138252,1.867321,6.3102903,2.0,1.0
0.0001001358,8.392334e-05,1.8679509,6.313022,3.0,1.0
1.1444092e-05,1.04904175e-05,1.8680243,6.313341,4.0,1.0
9.536743e-07,1.4305115e-06,1.8680334,6.3133802,5.0,1.0
0.0,4.7683716e-07,1.8680344,6.313384,6.0,1.0
0.0,0.0,1.8680348,6.313385,7.0,1.0
0.0,0.0,1.8680348,6.313385,8.0,1.0
0.0,4.7683716e-07,1.8680344,6.3133855,9.0,1.0
0.0,0.0,1.8680348,6.313385,10.0,1.0
0.0,4.7683716e-07,1.8680344,6.313385,11.0,1.0
0.0,0.0,1.8680348,6.313385,12.0,1.0
