complexity,accuracy,distortion,mse,round,run
0.0,0.0,1.8680348,6.3133845,0.0,1.0
9.536743e-07,9.536743e-07,1.8680339,6.313384,1.0,1.0
5.722046e-06,2.861023e-06,1.868032,6.313382,2.0,1.0
4.2438507e-05,1.2397766e-05,1.8680224,6.313362,3.0,1.0
0.00028944016,8.2969666e-05,1.8679519,6.3132286,4.0,1.0
0.0019817352,0.00056648254,1.8674684,6.3123264,5.0,1.0
0.013514519,0.003865242,1.8641696,6.3063183,6.0,1.0
0.08940649,0.025746346,1.8422885,6.26861,7.0,1.0
0.50189495,0.15536547,1.7126694,6.0543137,8.0,1.0
1.7325611,0.6700001,1.1980348,4.968894,9.0,1.0
2.810359,1.3106503,0.5573845,3.125976,10.0,1.0
3.1669838,1.5973392,0.2706957,2.1320221,11.0,1.0
3.2463484,1.6628218,0.20521307,1.9861937,12.0,1.0
3.2502232,1.6650996,0.20293522,1.9844825,13.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,14.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,15.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,16.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,17.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,18.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,19.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,20.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,21.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,22.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,23.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,24.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,25.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,26.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,27.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,28.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,29.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,30.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,31.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,32.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,33.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,34.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,35.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,36.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,37.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,38.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,39.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,40.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,41.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,42.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,43.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,44.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,45.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,46.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,47.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,48.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,49.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,50.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,51.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,52.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,53.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,54.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,55.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,56.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,57.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,58.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,59.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,60.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,61.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,62.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,63.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,64.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,65.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,66.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,67.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,68.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,69.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,70.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,71.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,72.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,73.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,74.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,75.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,76.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,77.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,78.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,79.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,80.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,81.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,82.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,83.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,84.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,85.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,86.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,87.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,88.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,89.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,90.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,91.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,92.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,93.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,94.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,95.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,96.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,97.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,98.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,99.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,100.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,101.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,102.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,103.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,104.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,105.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,106.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,107.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,108.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,109.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,110.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,111.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,112.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,113.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,114.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,115.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,116.0,1.0
3.2502255,1.6651001,0.20293474,1.9844825,117.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,118.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,119.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,120.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,121.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,122.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,123.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,124.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,125.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,126.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,127.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,128.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,129.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,130.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,131.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,132.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,133.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,134.0,1.0
3.2502253,1.6651001,0.20293474,1.9844825,135.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,136.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,137.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,138.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,139.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,140.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,141.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,142.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,143.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,144.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,145.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,146.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,147.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,148.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,149.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,150.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,151.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,152.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,153.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,154.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,155.0,1.0
3.250225,1.6651006,0.20293427,1.9844824,156.0,1.0
3.250225,1.6651006,0.20293427,1.9844824,157.0,1.0
3.250225,1.6651006,0.20293427,1.9844824,158.0,1.0
3.250225,1.6651006,0.20293427,1.9844824,159.0,1.0
3.250225,1.6651006,0.20293427,1.9844824,160.0,1.0
3.250225,1.6651006,0.20293427,1.9844824,161.0,1.0
3.250225,1.6651006,0.20293427,1.9844824,162.0,1.0
3.250225,1.6651006,0.20293427,1.9844824,163.0,1.0
3.250225,1.6651006,0.20293427,1.9844825,164.0,1.0
3.250225,1.6651006,0.20293427,1.9844825,165.0,1.0
3.250225,1.6651006,0.20293427,1.9844825,166.0,1.0
3.250225,1.6651006,0.20293427,1.9844825,167.0,1.0
3.250225,1.6651006,0.20293427,1.9844825,168.0,1.0
3.250225,1.6651006,0.20293427,1.9844825,169.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,170.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,171.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,172.0,1.0
3.250225,1.6651001,0.20293474,1.9844825,173.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,174.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,175.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,176.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,177.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,178.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,179.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,180.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,181.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,182.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,183.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,184.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,185.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,186.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,187.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,188.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,189.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,190.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,191.0,1.0
3.250225,1.6651001,0.20293474,1.9844824,192.0,1.0
3.2502248,1.6651001,0.20293474,1.9844824,193.0,1.0
3.2502248,1.6651001,0.20293474,1.9844824,194.0,1.0
3.2502248,1.6651001,0.20293474,1.9844824,195.0,1.0
3.2502248,1.6651001,0.20293474,1.9844824,196.0,1.0
3.2502248,1.6651001,0.20293474,1.9844824,197.0,1.0
3.2502248,1.6651001,0.20293474,1.9844824,198.0,1.0
3.2502248,1.6651001,0.20293474,1.9844824,199.0,1.0
