complexity,accuracy,distortion,mse,round,run
0.5255232,0.14590168,1.7221336,6.010563,0.0,1.0
0.51933146,0.14505959,1.7229757,6.016943,1.0,1.0
0.5384712,0.16725302,1.7007823,5.9262238,2.0,1.0
0.58246946,0.21176338,1.6562719,5.746399,3.0,1.0
0.6519184,0.2786007,1.5894346,5.4846177,4.0,1.0
0.74585724,0.36610603,1.5019293,5.154887,5.0,1.0
0.8600278,0.4696226,1.3984127,4.7801514,6.0,1.0
0.9868674,0.58188343,1.2861519,4.3888884,7.0,1.0
1.1168723,0.69448376,1.1735516,4.0108423,8.0,1.0
1.2412548,0.80005646,1.0679789,3.6691215,9.0,1.0
1.3549361,0.8944907,0.9735446,3.3720884,10.0,1.0
1.4570518,0.97710514,0.8909302,3.116542,11.0,1.0
1.5490084,1.0489998,0.81903553,2.896451,12.0,1.0
1.6325712,1.1116004,0.7564349,2.7071218,13.0,1.0
1.7090449,1.1661315,0.7019038,2.5450096,14.0,1.0
1.7791862,1.2135777,0.65445757,2.4069357,15.0,1.0
1.84337,1.2547755,0.6132598,2.2898986,16.0,1.0
1.9018288,1.2904778,0.57755756,2.1910472,17.0,1.0
1.9548225,1.3214092,0.5466261,2.107652,18.0,1.0
2.0027304,1.3482742,0.5197611,2.0371337,19.0,1.0
2.0460405,1.371728,0.49630737,1.9771401,20.0,1.0
2.0853133,1.3923721,0.4756632,1.9256095,21.0,1.0
2.1211162,1.4107223,0.45731306,1.8808045,22.0,1.0
2.1539931,1.4272132,0.44082212,1.8413188,23.0,1.0
2.184424,1.442193,0.4258423,1.8060576,24.0,1.0
2.212811,1.4559288,0.4121065,1.7741987,25.0,1.0
2.2394795,1.4686227,0.39941263,1.7451398,26.0,1.0
2.26468,1.4804211,0.38761425,1.7184464,27.0,1.0
2.2886004,1.4914298,0.3766055,1.6938069,28.0,1.0
2.3113813,1.5017266,0.3663087,1.6709986,29.0,1.0
2.3331213,1.5113678,0.35666752,1.6498613,30.0,1.0
2.353899,1.5203981,0.34763718,1.6302787,31.0,1.0
2.3737693,1.5288572,0.3391781,1.612161,32.0,1.0
2.3927803,1.5367765,0.33125877,1.595434,33.0,1.0
2.4109735,1.5441871,0.32384825,1.5800269,34.0,1.0
2.4283886,1.5511193,0.316916,1.5658641,35.0,1.0
2.4450688,1.5576048,0.31043053,1.5528598,36.0,1.0
2.4610586,1.5636759,0.30435944,1.5409147,37.0,1.0
2.4764075,1.5693674,0.2986679,1.5299181,38.0,1.0
2.49117,1.5747156,0.2933197,1.5197508,39.0,1.0
2.505403,1.5797606,0.28827477,1.5102926,40.0,1.0
2.5191646,1.5845413,0.283494,1.5014279,41.0,1.0
2.5325103,1.5890932,0.2789421,1.4930516,42.0,1.0
2.545495,1.5934534,0.2745819,1.4850731,43.0,1.0
2.5581646,1.5976505,0.2703848,1.4774177,44.0,1.0
2.57056,1.6017122,0.2663231,1.4700267,45.0,1.0
2.582714,1.6056595,0.26237583,1.4628563,46.0,1.0
2.5946507,1.6095071,0.25852823,1.4558752,47.0,1.0
2.6063876,1.6132679,0.25476742,1.4490628,48.0,1.0
2.6179368,1.616951,0.25108433,1.4424064,49.0,1.0
2.629302,1.6205602,0.24747515,1.4358996,50.0,1.0
2.6404858,1.6240983,0.24393702,1.4295411,51.0,1.0
2.6514833,1.6275659,0.24046946,1.4233322,52.0,1.0
2.6622894,1.6309624,0.23707294,1.417277,53.0,1.0
2.672896,1.6342854,0.23374987,1.4113808,54.0,1.0
2.6832922,1.6375327,0.2305026,1.4056498,55.0,1.0
2.693468,1.6407003,0.22733498,1.4000905,56.0,1.0
2.703412,1.643785,0.22425032,1.3947086,57.0,1.0
2.7131133,1.6467838,0.22125149,1.3895105,58.0,1.0
2.7225592,1.6496925,0.21834278,1.384501,59.0,1.0
