complexity,accuracy,distortion,mse,round,run
2.459148,0.9663582,0.90167665,4.4134655,0.0,1.0
0.81320214,0.59437275,1.2736621,4.304189,1.0,1.0
0.91165113,0.65905523,1.2089796,4.128373,2.0,1.0
0.91165113,0.65905523,1.2089796,4.128373,3.0,1.0
0.8648033,0.6383295,1.2297053,4.1721034,4.0,1.0
0.8540311,0.6317549,1.23628,4.1884527,5.0,1.0
0.84895396,0.6283665,1.2396684,4.19744,6.0,1.0
0.8460374,0.6263039,1.2417309,4.2031345,7.0,1.0
0.8441658,0.6249223,1.2431126,4.2070565,8.0,1.0
0.8428736,0.623935,1.2440999,4.209916,9.0,1.0
0.8419342,0.62319803,1.2448368,4.2120895,10.0,1.0
0.84122324,0.6226268,1.245408,4.2137938,11.0,1.0
0.8406682,0.6221721,1.2458627,4.215165,12.0,1.0
0.84022427,0.62180257,1.2462323,4.2162905,13.0,1.0
0.8398614,0.6214957,1.2465391,4.217231,14.0,1.0
0.83956003,0.621238,1.2467968,4.2180266,15.0,1.0
0.8393061,0.6210184,1.2470164,4.21871,16.0,1.0
0.8390889,0.6208286,1.2472062,4.2193007,17.0,1.0
0.838902,0.62066364,1.2473712,4.219819,18.0,1.0
0.8387389,0.62051845,1.2475164,4.220275,19.0,1.0
0.8385954,0.6203902,1.2476447,4.22068,20.0,1.0
0.83846855,0.6202755,1.2477593,4.2210426,21.0,1.0
0.8383558,0.620173,1.2478619,4.221369,22.0,1.0
0.8382542,0.62008095,1.2479539,4.221663,23.0,1.0
0.83816314,0.619997,1.2480378,4.2219305,24.0,1.0
0.83808017,0.61992073,1.2481141,4.222174,25.0,1.0
0.83800507,0.6198511,1.2481837,4.222398,26.0,1.0
0.8379364,0.61978745,1.2482474,4.222603,27.0,1.0
0.837873,0.6197281,1.2483068,4.2227917,28.0,1.0
0.83781505,0.6196737,1.2483611,4.222967,29.0,1.0
0.8377614,0.6196232,1.2484117,4.2231297,30.0,1.0
0.8377118,0.6195767,1.2484581,4.223281,31.0,1.0
0.8376658,0.61953306,1.2485018,4.223422,32.0,1.0
0.83762264,0.61949253,1.2485423,4.2235537,33.0,1.0
0.8375828,0.6194546,1.2485802,4.2236767,34.0,1.0
0.8375454,0.61941886,1.248616,4.2237926,35.0,1.0
0.83751035,0.6193857,1.2486491,4.2239013,36.0,1.0
0.83747745,0.6193538,1.2486811,4.2240043,37.0,1.0
0.837446,0.61932397,1.2487109,4.224101,38.0,1.0
0.8374169,0.6192961,1.2487388,4.2241926,39.0,1.0
0.83738947,0.6192696,1.2487652,4.224279,40.0,1.0
0.83736324,0.6192446,1.2487903,4.2243614,41.0,1.0
0.83733845,0.61922026,1.2488146,4.2244387,42.0,1.0
0.8373151,0.61919785,1.248837,4.224513,43.0,1.0
0.83729315,0.6191759,1.2488589,4.2245836,44.0,1.0
0.8372717,0.61915565,1.2488792,4.2246513,45.0,1.0
0.83725166,0.61913633,1.2488985,4.224715,46.0,1.0
0.8372321,0.61911726,1.2489176,4.2247763,47.0,1.0
0.83721375,0.6190994,1.2489355,4.2248354,48.0,1.0
0.8371966,0.6190827,1.2489522,4.224891,49.0,1.0
0.83717966,0.61906624,1.2489686,4.224945,50.0,1.0
