complexity,accuracy,distortion,mse,round,run
4.7683716e-07,4.7683716e-07,1.8680344,6.313385,0.0,1.0
0.0,4.7683716e-07,1.8680344,6.313385,1.0,1.0
0.0,4.7683716e-07,1.8680344,6.313385,2.0,1.0
0.0,0.0,1.8680348,6.313385,3.0,1.0
9.536743e-07,9.536743e-07,1.8680339,6.313384,4.0,1.0
4.7683716e-07,0.0,1.8680348,6.313384,5.0,1.0
9.536743e-07,9.536743e-07,1.8680339,6.313383,6.0,1.0
1.4305115e-06,9.536743e-07,1.8680339,6.313381,7.0,1.0
2.3841858e-06,1.4305115e-06,1.8680334,6.3133783,8.0,1.0
3.33786e-06,3.33786e-06,1.8680315,6.3133736,9.0,1.0
6.198883e-06,4.7683716e-06,1.8680301,6.313366,10.0,1.0
9.059906e-06,8.106232e-06,1.8680267,6.3133516,11.0,1.0
1.6212463e-05,1.335144e-05,1.8680215,6.313327,12.0,1.0
2.8133392e-05,2.3841858e-05,1.868011,6.3132854,13.0,1.0
4.8160553e-05,4.053116e-05,1.8679943,6.3132133,14.0,1.0
8.1539154e-05,6.866455e-05,1.8679662,6.3130903,15.0,1.0
0.00013971329,0.000116825104,1.867918,6.31288,16.0,1.0
0.00023984909,0.0002002716,1.8678346,6.31252,17.0,1.0
0.00041007996,0.00034189224,1.867693,6.311904,18.0,1.0
0.0007009506,0.0005841255,1.8674507,6.310853,19.0,1.0
0.0011968613,0.000998497,1.8670363,6.3090587,20.0,1.0
0.0020427704,0.0017032623,1.8663316,6.306001,21.0,1.0
0.0034837723,0.002904892,1.86513,6.300798,22.0,1.0
0.0059313774,0.0049448013,1.86309,6.2919664,23.0,1.0
0.0100774765,0.008399963,1.8596349,6.277033,24.0,1.0
0.017062187,0.01421833,1.8538165,6.2519445,25.0,1.0
0.028734207,0.023935795,1.844099,6.2102256,26.0,1.0
0.047966957,0.03993368,1.8281012,6.142009,27.0,1.0
0.07897091,0.065683365,1.8023515,6.033393,28.0,1.0
0.12729168,0.10571575,1.7623191,5.867323,29.0,1.0
0.198977,0.16487408,1.7031608,5.6277723,30.0,1.0
0.29846525,0.24648762,1.6215472,5.3078957,31.0,1.0
0.42570448,0.3499503,1.5180845,4.9185266,32.0,1.0
0.5744953,0.46942806,1.3986068,4.4893994,33.0,1.0
0.7339802,0.59529877,1.2727361,4.0594025,34.0,1.0
0.89257574,0.71763706,1.1503978,3.6622677,35.0,1.0
1.0415511,0.8292656,1.0387692,3.3175917,36.0,1.0
1.1763396,0.92677164,0.9412632,3.0305758,37.0,1.0
1.2958622,1.0097985,0.8582363,2.7969398,38.0,1.0
1.4011154,1.0797315,0.7883034,2.6082845,39.0,1.0
1.4939504,1.1385994,0.72943544,2.4556305,40.0,1.0
1.576334,1.1884279,0.6796069,2.3310852,41.0,1.0
1.6500039,1.2309608,0.637074,2.2283297,42.0,1.0
1.7163763,1.2675986,0.6004362,2.1425376,43.0,1.0
1.7765665,1.299428,0.56860685,2.0700924,44.0,1.0
1.8314438,1.3272934,0.54074144,2.0082867,45.0,1.0
1.8816977,1.3518505,0.51618433,1.9550699,46.0,1.0
1.9278879,1.373621,0.49441385,1.9088619,47.0,1.0
1.9704795,1.3930302,0.47500467,1.8684218,48.0,1.0
2.009871,1.4104266,0.45760822,1.8327584,49.0,1.0
2.0464096,1.4261055,0.44192934,1.801068,50.0,1.0
2.0804033,1.4403157,0.42771912,1.772692,51.0,1.0
2.1121273,1.453269,0.41476583,1.7470877,52.0,1.0
2.1418262,1.4651451,0.40288973,1.723807,53.0,1.0
2.1697154,1.4760981,0.39193678,1.7024786,54.0,1.0
2.1959882,1.4862576,0.3817773,1.6827979,55.0,1.0
2.2208128,1.4957299,0.37230492,1.6645131,56.0,1.0
2.2443352,1.5046072,0.36342764,1.6474187,57.0,1.0
2.2666826,1.5129647,0.3550701,1.6313477,58.0,1.0
2.2879615,1.520863,0.34717178,1.6161647,59.0,1.0
2.3082662,1.5283542,0.33968067,1.6017609,60.0,1.0
2.3276725,1.5354776,0.3325572,1.5880498,61.0,1.0
2.3462486,1.5422692,0.3257656,1.5749625,62.0,1.0
2.3640485,1.5487537,0.3192811,1.5624452,63.0,1.0
2.3811207,1.5549555,0.31307936,1.5504552,64.0,1.0
2.3975043,1.5608912,0.3071437,1.5389602,65.0,1.0
2.4132323,1.566575,0.3014598,1.5279354,66.0,1.0
2.4283352,1.5720196,0.29601526,1.5173612,67.0,1.0
2.4428377,1.5772343,0.29080057,1.507223,68.0,1.0
