complexity,accuracy,distortion,mse,round,run
4.6522658e-08,0.0,6.824668,18149.707,0.0,1.0
6.900376e-08,7.417949e-09,6.824668,18149.707,1.0,1.0
3.7336196e-08,0.0,6.824668,18149.707,2.0,1.0
7.3491933e-09,0.0,6.824668,18149.707,3.0,1.0
1.8548079e-08,0.0,6.824668,18149.707,4.0,1.0
0.0,0.0,6.824668,18149.707,5.0,1.0
0.0,0.0,6.824668,18149.707,6.0,1.0
0.0,0.0,6.824668,18149.707,7.0,1.0
0.0,0.0,6.824668,18149.707,8.0,1.0
0.0,0.0,6.824668,18149.707,9.0,1.0
0.0,0.0,6.824668,18149.707,10.0,1.0
1.7147478e-08,0.0,6.824668,18149.707,11.0,1.0
1.481223e-07,8.600332e-08,6.8246675,18149.705,12.0,1.0
1.0687872e-06,1.0040002e-06,6.8246665,18149.703,13.0,1.0
7.1197755e-06,7.0387587e-06,6.824661,18149.688,14.0,1.0
4.686077e-05,4.6680227e-05,6.824621,18149.57,15.0,1.0
0.00030888073,0.00030808646,6.8243594,18148.781,16.0,1.0
0.0020317985,0.0020272147,6.8226404,18143.404,17.0,1.0
0.01324071,0.0132129155,6.811455,18106.85,18.0,1.0
0.08365143,0.08348597,6.741182,17853.871,19.0,1.0
0.46971327,0.46881342,6.3558545,16060.662,20.0,1.0
1.7573963,1.7536072,5.0710607,9491.584,21.0,1.0
3.3424008,3.3320627,3.492605,2940.9465,22.0,1.0
4.103048,4.084611,2.7400568,714.5043,23.0,1.0
4.413139,4.3880258,2.436642,180.85669,24.0,1.0
4.5469184,4.5176005,2.3070672,53.814327,25.0,1.0
4.607812,4.576203,2.2484648,24.338818,26.0,1.0
4.6374807,4.6046615,2.2200062,21.954397,27.0,1.0
4.653238,4.619767,2.2049003,21.454565,28.0,1.0
4.66213,4.628295,2.1963727,21.178616,29.0,1.0
4.6674056,4.633357,2.1913106,21.015627,30.0,1.0
4.670684,4.6365047,2.188163,20.914692,31.0,1.0
4.672809,4.638546,2.1861217,20.849422,32.0,1.0
4.67424,4.6399217,2.184746,20.805439,33.0,1.0
4.6752386,4.6408815,2.1837862,20.774757,34.0,1.0
4.6759567,4.6415725,2.1830955,20.752886,35.0,1.0
4.6764874,4.642083,2.1825843,20.736673,36.0,1.0
4.67689,4.642471,2.1821969,20.724298,37.0,1.0
