complexity,accuracy,distortion,mse,round,run
3.9477836e-08,0.0,6.824668,18149.707,0.0,1.0
4.111665e-08,0.0,6.824668,18149.707,1.0,1.0
3.280354e-08,0.0,6.824668,18149.707,2.0,1.0
2.8484635e-08,0.0,6.824668,18149.707,3.0,1.0
2.5285413e-08,0.0,6.824668,18149.707,4.0,1.0
2.3735165e-08,0.0,6.824668,18149.707,5.0,1.0
1.7770333e-08,0.0,6.824668,18149.707,6.0,1.0
3.103141e-08,0.0,6.824668,18149.707,7.0,1.0
2.2977872e-08,0.0,6.824668,18149.707,8.0,1.0
2.4590218e-08,0.0,6.824668,18149.707,9.0,1.0
2.2308132e-08,0.0,6.824668,18149.707,10.0,1.0
1.5507634e-08,0.0,6.824668,18149.707,11.0,1.0
8.321361e-09,0.0,6.824668,18149.707,12.0,1.0
5.8906657e-09,0.0,6.824668,18149.707,13.0,1.0
0.0,0.0,6.824668,18149.707,14.0,1.0
3.3205048e-09,0.0,6.824668,18149.707,15.0,1.0
6.9442088e-09,0.0,6.824668,18149.707,16.0,1.0
6.686701e-09,0.0,6.824668,18149.707,17.0,1.0
0.0,0.0,6.824668,18149.707,18.0,1.0
7.067495e-09,0.0,6.824668,18149.707,19.0,1.0
0.0,0.0,6.824668,18149.707,20.0,1.0
0.0,0.0,6.824668,18149.707,21.0,1.0
7.334368e-09,0.0,6.824668,18149.707,22.0,1.0
0.0,0.0,6.824668,18149.707,23.0,1.0
0.0,0.0,6.824668,18149.707,24.0,1.0
0.0,0.0,6.824668,18149.707,25.0,1.0
0.0,0.0,6.824668,18149.707,26.0,1.0
0.0,0.0,6.824668,18149.707,27.0,1.0
0.0,0.0,6.824668,18149.707,28.0,1.0
3.7190944e-09,0.0,6.824668,18149.707,29.0,1.0
0.0,0.0,6.824668,18149.707,30.0,1.0
0.0,0.0,6.824668,18149.707,31.0,1.0
0.0,0.0,6.824668,18149.707,32.0,1.0
0.0,0.0,6.824668,18149.707,33.0,1.0
0.0,0.0,6.824668,18149.707,34.0,1.0
0.0,0.0,6.824668,18149.707,35.0,1.0
3.2675018e-10,0.0,6.824668,18149.707,36.0,1.0
0.0,0.0,6.824668,18149.707,37.0,1.0
8.081933e-09,0.0,6.824668,18149.707,38.0,1.0
2.2087072e-08,0.0,6.824668,18149.707,39.0,1.0
0.0,0.0,6.824668,18149.707,40.0,1.0
0.0,0.0,6.824668,18149.707,41.0,1.0
0.0,0.0,6.824668,18149.707,42.0,1.0
0.0,0.0,6.824668,18149.707,43.0,1.0
0.0,0.0,6.824668,18149.707,44.0,1.0
0.0,0.0,6.824668,18149.707,45.0,1.0
0.0,0.0,6.824668,18149.707,46.0,1.0
0.0,0.0,6.824668,18149.707,47.0,1.0
0.0,0.0,6.824668,18149.707,48.0,1.0
0.0,0.0,6.824668,18149.707,49.0,1.0
0.0,0.0,6.824668,18149.707,50.0,1.0
0.0,0.0,6.824668,18149.707,51.0,1.0
