complexity,accuracy
1.9387136,1.5042992
1.938714,1.5042996
1.9387136,1.5042996
1.938714,1.5042996
1.938714,1.5042996
1.938714,1.5042992
1.938714,1.5042992
1.938714,1.5042992
1.938714,1.5043001
1.9387136,1.5042992
1.938714,1.5042992
1.938714,1.5042992
1.95152,1.5101767
1.95152,1.5101771
1.9515204,1.5101762
1.95152,1.5101771
1.9515195,1.5101767
1.9515204,1.5101771
1.9515195,1.5101771
1.9515204,1.5101767
1.95152,1.5101767
1.9515195,1.5101771
1.95152,1.5101771
1.95152,1.5101771
0.94512844,0.8134284
0.94512844,0.8134284
0.94512844,0.8134284
0.94512844,0.8134284
0.94512844,0.8134284
0.94512844,0.8134279
0.94512844,0.8134284
0.94512844,0.8134284
0.94512844,0.8134279
0.9451289,0.8134284
0.9451289,0.8134284
0.9451289,0.8134279
1.9516487,1.510231
1.9516492,1.510231
1.9516492,1.5102305
1.9516478,1.5102301
1.9516487,1.510231
1.9516487,1.5102305
1.9516492,1.5102305
1.9516492,1.510231
1.9516487,1.5102305
1.9516492,1.510231
1.9516492,1.510231
1.9516492,1.510231
1.9522438,1.5104604
1.9522448,1.5104604
1.9522448,1.5104599
1.9522448,1.5104599
1.9522448,1.5104599
1.9522443,1.5104599
1.9522443,1.5104594
1.9522448,1.5104609
1.9522443,1.5104599
1.9522443,1.5104599
1.9522443,1.5104599
1.9522448,1.5104599
1.951829,1.5103068
1.951829,1.5103073
1.9518285,1.5103068
1.951829,1.5103068
1.951829,1.5103073
1.9518294,1.5103068
1.9518294,1.5103068
1.951829,1.5103073
1.9518285,1.5103073
1.951829,1.5103068
1.951829,1.5103068
1.9518294,1.5103068
1.9514174,1.5101333
1.9514179,1.5101323
1.9514179,1.5101323
1.9514174,1.5101323
1.9514179,1.5101328
1.9514174,1.5101333
1.9514179,1.5101323
1.9514179,1.5101342
1.9514179,1.5101323
1.9514174,1.5101337
1.9514174,1.5101333
1.9514174,1.5101333
1.9386835,1.5042872
1.9386835,1.5042863
1.938684,1.5042868
1.9386835,1.5042863
1.9386845,1.5042872
1.9386835,1.5042868
1.9386835,1.5042868
1.9386835,1.5042872
1.938684,1.5042877
1.938684,1.5042872
1.9386835,1.5042868
1.9386835,1.5042868
