complexity,accuracy,distortion,mse,round,trial
6.198883e-05,6.1035156e-05,3.32057,16.499866,0.0,1.0
8.058548e-05,7.9631805e-05,3.3205514,16.499756,1.0,1.0
0.0004849434,0.00048446655,3.3201466,16.498371,2.0,1.0
0.0032730103,0.0032725334,3.3173585,16.488974,3.0,1.0
0.02187109,0.021869183,3.2987618,16.42775,4.0,1.0
0.13679457,0.13677025,3.1838608,16.05813,5.0,1.0
0.65475464,0.65462065,2.6660104,14.238135,6.0,1.0
1.6315999,1.6311245,1.6895065,10.213921,7.0,1.0
2.3383303,2.3374524,0.9831786,6.680135,8.0,1.0
2.7209349,2.719908,0.600723,4.3108983,9.0,1.0
2.900275,2.899175,0.4214561,3.1714616,10.0,1.0
2.970693,2.969573,0.351058,2.9564993,11.0,1.0
3.0309844,3.0298572,0.29077387,2.5590029,12.0,1.0
3.0850108,3.0838828,0.23674822,1.9053102,13.0,1.0
3.118934,3.1178064,0.2028246,1.606266,14.0,1.0
3.120351,3.119223,0.20140791,1.599862,15.0,1.0
3.1203504,3.1192236,0.20140743,1.5998617,16.0,1.0
3.1203504,3.1192234,0.20140767,1.5998617,17.0,1.0
3.1203501,3.119223,0.20140791,1.5998616,18.0,1.0
3.1203501,3.119223,0.20140791,1.5998615,19.0,1.0
3.1203501,3.1192229,0.20140815,1.5998616,20.0,1.0
3.1203501,3.1192226,0.20140839,1.5998614,21.0,1.0
3.1203501,3.1192226,0.20140839,1.5998615,22.0,1.0
3.1203501,3.1192226,0.20140839,1.5998614,23.0,1.0
3.1203496,3.1192229,0.20140815,1.5998614,24.0,1.0
3.1203496,3.1192226,0.20140839,1.5998614,25.0,1.0
3.1203492,3.1192226,0.20140839,1.5998611,26.0,1.0
3.1203492,3.1192226,0.20140839,1.599861,27.0,1.0
3.1203492,3.1192224,0.20140862,1.5998611,28.0,1.0
3.1203496,3.1192226,0.20140839,1.5998609,29.0,1.0
3.1203496,3.1192226,0.20140839,1.5998609,30.0,1.0
3.1203494,3.1192224,0.20140862,1.5998607,31.0,1.0
3.1203494,3.1192222,0.20140886,1.5998608,32.0,1.0
3.1203494,3.1192222,0.20140886,1.5998607,33.0,1.0
3.1203492,3.1192222,0.20140886,1.5998605,34.0,1.0
3.120349,3.1192222,0.20140886,1.5998604,35.0,1.0
3.120349,3.1192222,0.20140886,1.5998604,36.0,1.0
3.1203487,3.1192222,0.20140886,1.5998604,37.0,1.0
3.1203485,3.1192222,0.20140886,1.5998604,38.0,1.0
3.1203485,3.1192214,0.20140958,1.5998602,39.0,1.0
3.1203487,3.1192212,0.20140982,1.5998604,40.0,1.0
3.1203482,3.1192212,0.20140982,1.5998603,41.0,1.0
3.1203482,3.1192207,0.2014103,1.5998603,42.0,1.0
3.1203482,3.1192207,0.2014103,1.5998603,43.0,1.0
3.1203482,3.1192205,0.20141053,1.5998603,44.0,1.0
3.120348,3.1192203,0.20141077,1.5998601,45.0,1.0
3.1203477,3.1192203,0.20141077,1.5998601,46.0,1.0
3.1203477,3.1192207,0.2014103,1.5998601,47.0,1.0
3.1203473,3.1192203,0.20141077,1.5998601,48.0,1.0
