complexity,accuracy,distortion,mse,round,run
1.3651122e-07,1.1243536e-07,1.9120275,16.399998,0.0,1.0
8.276665e-08,5.869078e-08,1.9120276,16.399998,1.0,1.0
7.954198e-08,5.5466106e-08,1.9120276,16.399998,2.0,1.0
6.556839e-08,4.149252e-08,1.9120276,16.399998,3.0,1.0
2.7947213e-08,3.871336e-09,1.9120276,16.399998,4.0,1.0
1.0750627e-09,0.0,1.9120276,16.399998,5.0,1.0
0.0,0.0,1.9120277,16.399998,6.0,1.0
0.0,0.0,1.9120277,16.399998,7.0,1.0
1.0782682e-08,0.0,1.9120276,16.399998,8.0,1.0
0.0,0.0,1.9120277,16.399998,9.0,1.0
0.0,0.0,1.9120277,16.399998,10.0,1.0
0.0,0.0,1.9120277,16.399998,11.0,1.0
0.0,0.0,1.9120277,16.399996,12.0,1.0
2.495546e-07,2.0853788e-07,1.9120275,16.399992,13.0,1.0
1.7565974e-06,1.6313018e-06,1.912026,16.399963,14.0,1.0
1.0991311e-05,1.0356585e-05,1.9120172,16.399776,15.0,1.0
6.877136e-05,6.503385e-05,1.9119626,16.398596,16.0,1.0
0.00043020718,0.00040746646,1.9116201,16.391161,17.0,1.0
0.0026829483,0.0025436152,1.909484,16.344612,18.0,1.0
0.016436942,0.015589892,1.8964378,16.062048,19.0,1.0
0.09152607,0.08666647,1.8253611,14.5975275,20.0,1.0
0.35222232,0.33033124,1.5816964,10.330621,21.0,1.0
0.72886634,0.66863555,1.2433921,5.899635,22.0,1.0
1.0100763,0.9027479,1.0092797,4.0159645,23.0,1.0
1.208442,1.0566471,0.85538054,3.1495361,24.0,1.0
1.3387206,1.1513442,0.7606835,2.7226756,25.0,1.0
1.4159203,1.203727,0.7083006,2.5262427,26.0,1.0
1.4599375,1.2324532,0.67957443,2.4277558,27.0,1.0
1.484722,1.248282,0.66374564,2.37636,28.0,1.0
1.4986042,1.2569788,0.6550489,2.349707,29.0,1.0
1.5065265,1.2618579,0.6501698,2.335645,30.0,1.0
1.5112007,1.2647101,0.6473176,2.3277974,31.0,1.0
1.5140711,1.2664658,0.6455619,2.3230128,32.0,1.0
1.5158951,1.2675964,0.64443123,2.3198211,33.0,1.0
1.5170567,1.2683322,0.6436954,2.3175914,34.0,1.0
1.5177518,1.2687874,0.6432403,2.3160698,35.0,1.0
1.5181012,1.2690313,0.6429963,2.3151224,36.0,1.0
1.5182055,1.2691236,0.64290404,2.3146214,37.0,1.0
1.5181571,1.2691195,0.64290816,2.314427,38.0,1.0
1.5180312,1.2690648,0.6429629,2.3144104,39.0,1.0
1.5178801,1.2689915,0.6430362,2.3144765,40.0,1.0
1.517734,1.2689185,0.64310914,2.3145642,41.0,1.0
1.5176078,1.2688555,0.6431722,2.31464,42.0,1.0
1.5175068,1.268806,0.6432217,2.3146884,43.0,1.0
1.5174314,1.2687707,0.64325696,2.3147042,44.0,1.0
1.5173795,1.2687486,0.64327896,2.3146868,45.0,1.0
1.5173485,1.2687387,0.64328885,2.3146377,46.0,1.0
1.517336,1.2687396,0.6432881,2.314559,47.0,1.0
1.5173396,1.2687497,0.6432779,2.314453,48.0,1.0
1.5173573,1.2687685,0.6432591,2.3143208,49.0,1.0
1.517388,1.268795,0.64323264,2.3141644,50.0,1.0
1.5174303,1.2688286,0.643199,2.3139846,51.0,1.0
1.5174835,1.2688689,0.64315873,2.313782,52.0,1.0
1.5175468,1.2689155,0.6431121,2.3135574,53.0,1.0
1.5176196,1.2689681,0.6430595,2.3133116,54.0,1.0
1.5177015,1.2690264,0.64300126,2.3130453,55.0,1.0
1.517792,1.26909,0.6429376,2.312759,56.0,1.0
1.5178905,1.2691588,0.6428688,2.3124542,57.0,1.0
1.5179963,1.2692323,0.6427954,2.3121321,58.0,1.0
1.518109,1.2693099,0.6427177,2.3117943,59.0,1.0
1.5182276,1.2693914,0.64263624,2.3114426,60.0,1.0
1.5183513,1.269476,0.64255154,2.311079,61.0,1.0
1.5184793,1.2695634,0.6424642,2.3107061,62.0,1.0
1.5186106,1.2696527,0.6423749,2.3103263,63.0,1.0
1.5187441,1.2697434,0.6422842,2.3099425,64.0,1.0
1.5188787,1.2698346,0.64219296,2.309557,65.0,1.0
1.5190133,1.2699258,0.64210176,2.3091726,66.0,1.0
1.519147,1.2700163,0.64201134,2.3087924,67.0,1.0
1.5192786,1.2701052,0.64192235,2.3084188,68.0,1.0
1.5194073,1.2701923,0.6418354,2.3080537,69.0,1.0
1.5195321,1.2702765,0.64175105,2.3077002,70.0,1.0
1.5196522,1.2703578,0.6416698,2.3073592,71.0,1.0
1.5197673,1.2704356,0.6415921,2.3070333,72.0,1.0
1.5198765,1.2705094,0.6415183,2.306723,73.0,1.0
1.5199795,1.2705791,0.64144856,2.3064299,74.0,1.0
1.520076,1.2706445,0.64138305,2.306154,75.0,1.0
1.520166,1.2707056,0.641322,2.3058963,76.0,1.0
1.5202492,1.2707622,0.64126545,2.3056564,77.0,1.0
1.5203259,1.2708144,0.64121324,2.3054347,78.0,1.0
1.520396,1.2708623,0.6411653,2.3052304,79.0,1.0
1.5204598,1.270906,0.6411216,2.3050432,80.0,1.0
1.5205173,1.2709457,0.641082,2.3048723,81.0,1.0
1.5205693,1.2709814,0.6410462,2.304717,82.0,1.0
1.5206157,1.2710136,0.64101404,2.3045769,83.0,1.0
1.5206571,1.2710423,0.6409853,2.3044503,84.0,1.0
1.5206935,1.271068,0.6409597,2.3043368,85.0,1.0
1.5207257,1.2710906,0.6409371,2.3042352,86.0,1.0
1.5207537,1.2711105,0.6409171,2.3041449,87.0,1.0
1.5207781,1.2711279,0.64089966,2.3040645,88.0,1.0
1.520799,1.2711432,0.64088446,2.3039937,89.0,1.0
1.520817,1.2711563,0.64087135,2.3039312,90.0,1.0
1.5208322,1.2711676,0.64086,2.3038766,91.0,1.0
1.5208449,1.2711772,0.6408504,2.303829,92.0,1.0
1.5208554,1.2711854,0.64084226,2.3037875,93.0,1.0
1.5208639,1.2711922,0.6408355,2.303752,94.0,1.0
1.5208707,1.2711977,0.6408299,2.3037212,95.0,1.0
1.5208758,1.2712022,0.6408254,2.3036952,96.0,1.0
1.5208797,1.2712058,0.6408218,2.3036733,97.0,1.0
1.5208824,1.2712085,0.6408191,2.303655,98.0,1.0
1.5208839,1.2712106,0.64081705,2.3036397,99.0,1.0
1.5208846,1.271212,0.6408157,2.3036275,100.0,1.0
