complexity,accuracy,distortion,mse,round,run
2.5682466,1.397691,0.5143366,2.674696,0.0,1.0
0.95936954,0.80001473,1.1120129,4.9701385,1.0,1.0
0.93069386,0.80688864,1.105139,4.5855703,2.0,1.0
0.85650414,0.7651818,1.1468458,4.880409,3.0,1.0
0.84459287,0.7577058,1.1543218,4.950487,4.0,1.0
0.86587024,0.7737255,1.1383021,4.8729267,5.0,1.0
0.95465726,0.8407988,1.0712289,4.5007763,6.0,1.0
1.0750943,0.9346387,0.977389,3.9648218,7.0,1.0
1.1615444,1.0040485,0.90797913,3.5620291,8.0,1.0
1.225086,1.055172,0.85685563,3.2695806,9.0,1.0
1.2808481,1.0997096,0.812318,3.025001,10.0,1.0
1.3300716,1.138785,0.77324265,2.820758,11.0,1.0
1.3699204,1.1699393,0.7420884,2.6674879,12.0,1.0
1.3990517,1.1920488,0.71997887,2.5672688,13.0,1.0
1.4177748,1.2057264,0.7063012,2.5115657,14.0,1.0
1.4287437,1.2133927,0.6986349,2.4845746,15.0,1.0
1.4352206,1.2176954,0.6943322,2.4722123,16.0,1.0
1.4393425,1.2202961,0.6917315,2.4664402,17.0,1.0
1.4421679,1.2220029,0.69002473,2.4635885,18.0,1.0
1.4442011,1.2231928,0.68883485,2.462074,19.0,1.0
1.4457072,1.2240566,0.687971,2.4611928,20.0,1.0
1.4468439,1.224702,0.68732566,2.4606173,21.0,1.0
1.4477139,1.2251947,0.68683296,2.460191,22.0,1.0
1.4483869,1.2255774,0.68645024,2.45984,23.0,1.0
1.4489125,1.2258787,0.6861488,2.4595308,24.0,1.0
1.4493263,1.2261188,0.68590885,2.4592485,25.0,1.0
1.4496541,1.2263117,0.685716,2.458988,26.0,1.0
1.4499153,1.2264677,0.6855599,2.4587479,27.0,1.0
1.4501246,1.2265947,0.6854329,2.4585278,28.0,1.0
1.450293,1.2266986,0.685329,2.4583275,29.0,1.0
1.4504288,1.2267838,0.68524384,2.458147,30.0,1.0
1.450539,1.226854,0.6851737,2.4579856,31.0,1.0
1.4506285,1.2269119,0.68511575,2.4578424,32.0,1.0
1.4507016,1.2269598,0.68506783,2.457716,33.0,1.0
1.4507612,1.2269995,0.6850281,2.457605,34.0,1.0
1.4508102,1.2270325,0.6849951,2.4575078,35.0,1.0
1.4508504,1.22706,0.68496764,2.4574234,36.0,1.0
1.4508834,1.2270828,0.6849448,2.4573503,37.0,1.0
1.4509107,1.2271019,0.68492573,2.457287,38.0,1.0
1.4509332,1.2271178,0.6849098,2.4572327,39.0,1.0
1.4509518,1.2271311,0.6848965,2.457186,40.0,1.0
1.4509673,1.2271422,0.68488544,2.4571457,41.0,1.0
