complexity,accuracy,distortion,mse,round,run
2.2493145,1.2799754,0.63205224,5.2044086,0.0,1.0
0.9817665,0.73509675,1.1769309,14.374667,1.0,1.0
0.70972466,0.6538941,1.2581335,5.8377357,2.0,1.0
0.7843958,0.71927416,1.1927534,5.2351723,3.0,1.0
0.890545,0.8033574,1.1086702,4.7144465,4.0,1.0
0.9652437,0.85802877,1.0539988,4.471247,5.0,1.0
1.0222664,0.899809,1.0122186,4.2550464,6.0,1.0
1.0701329,0.93632334,0.9757043,4.0262685,7.0,1.0
1.1086923,0.96664023,0.9453874,3.8192,8.0,1.0
1.1375711,0.9898348,0.9221928,3.6545217,9.0,1.0
1.1586665,1.0071529,0.9048747,3.528694,10.0,1.0
1.1749057,1.0207663,0.89126134,3.428938,11.0,1.0
1.1885545,1.0323318,0.8796958,3.3454406,12.0,1.0
1.2006413,1.0425628,0.8694648,3.2741747,13.0,1.0
1.2112222,1.0514708,0.86055684,3.2148757,14.0,1.0
1.2200106,1.0588534,0.8531742,3.1679428,15.0,1.0
1.2269278,1.0646861,0.84734154,3.1324902,16.0,1.0
1.232225,1.0691869,0.84284073,3.1063945,17.0,1.0
1.2363029,1.0726734,0.8393542,3.0872564,18.0,1.0
1.2395316,1.075434,0.8365936,3.0730546,19.0,1.0
1.2421811,1.077681,0.8343467,3.062302,20.0,1.0
1.2444203,1.0795535,0.8324742,3.0539744,21.0,1.0
1.2463449,1.0811366,0.830891,3.0473878,22.0,1.0
1.2480057,1.0824815,0.8295461,3.0420916,23.0,1.0
1.2494321,1.0836216,0.82840604,3.0377848,24.0,1.0
1.250646,1.0845823,0.82744527,3.0342588,25.0,1.0
1.251669,1.0853864,0.82664126,3.0313613,26.0,1.0
1.2525237,1.0860548,0.8259728,3.0289762,27.0,1.0
1.2532324,1.0866076,0.8254201,3.0270114,28.0,1.0
1.2538166,1.0870625,0.8249651,3.0253932,29.0,1.0
1.2542963,1.0874357,0.8245919,3.024061,30.0,1.0
1.2546889,1.0877411,0.82428646,3.0229652,31.0,1.0
1.2550093,1.0879906,0.824037,3.0220647,32.0,1.0
1.2552705,1.088194,0.82383364,3.0213256,33.0,1.0
1.255483,1.0883596,0.823668,3.0207195,34.0,1.0
1.2556558,1.0884944,0.82353324,3.020223,35.0,1.0
1.2557961,1.088604,0.8234236,3.0198166,36.0,1.0
1.25591,1.088693,0.8233346,3.0194843,37.0,1.0
1.2560024,1.0887654,0.8232623,3.0192132,38.0,1.0
1.2560774,1.088824,0.82320356,3.0189917,39.0,1.0
1.2561383,1.0888717,0.82315594,3.0188112,40.0,1.0
1.2561876,1.0889103,0.8231173,3.0186641,41.0,1.0
1.2562275,1.0889417,0.82308596,3.0185442,42.0,1.0
1.2562599,1.0889671,0.8230605,3.0184467,43.0,1.0
1.2562861,1.0889877,0.8230399,3.0183673,44.0,1.0
1.2563074,1.0890044,0.82302314,3.018303,45.0,1.0
1.2563246,1.089018,0.8230096,3.0182505,46.0,1.0
1.2563386,1.089029,0.82299864,3.0182078,47.0,1.0
1.2563499,1.0890379,0.82298976,3.0181732,48.0,1.0
1.2563591,1.0890452,0.8229825,3.018145,49.0,1.0
1.2563665,1.089051,0.82297665,3.0181222,50.0,1.0
1.2563725,1.0890557,0.82297194,3.0181038,51.0,1.0
1.2563773,1.0890596,0.82296807,3.0180888,52.0,1.0
1.2563813,1.0890627,0.82296497,3.0180767,53.0,1.0
1.2563845,1.0890652,0.82296246,3.0180666,54.0,1.0
1.2563871,1.0890672,0.82296044,3.0180588,55.0,1.0
1.2563891,1.0890689,0.82295877,3.018052,56.0,1.0
1.2563908,1.0890702,0.82295746,3.0180469,57.0,1.0
1.2563922,1.0890713,0.8229563,3.0180426,58.0,1.0
1.2563933,1.0890721,0.8229555,3.0180392,59.0,1.0
1.2563943,1.0890728,0.8229548,3.0180364,60.0,1.0
1.256395,1.0890734,0.8229542,3.018034,61.0,1.0
1.2563956,1.0890739,0.8229537,3.0180323,62.0,1.0
1.256396,1.0890743,0.82295334,3.0180306,63.0,1.0
1.2563964,1.0890746,0.82295305,3.0180295,64.0,1.0
1.2563968,1.0890749,0.82295275,3.0180285,65.0,1.0
1.256397,1.0890751,0.82295257,3.0180278,66.0,1.0
1.2563972,1.0890752,0.8229524,3.018027,67.0,1.0
1.2563974,1.0890753,0.8229523,3.0180266,68.0,1.0
1.2563976,1.0890754,0.82295215,3.018026,69.0,1.0
1.2563976,1.0890756,0.8229521,3.0180259,70.0,1.0
1.2563977,1.0890756,0.82295203,3.0180256,71.0,1.0
1.2563978,1.0890757,0.822952,3.0180252,72.0,1.0
1.2563978,1.0890757,0.8229519,3.0180252,73.0,1.0
1.256398,1.0890758,0.82295185,3.018025,74.0,1.0
1.256398,1.0890758,0.82295185,3.0180247,75.0,1.0
1.256398,1.0890758,0.8229518,3.0180247,76.0,1.0
1.2563981,1.0890758,0.8229518,3.0180247,77.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,78.0,1.0
1.2563981,1.0890758,0.8229518,3.0180244,79.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,80.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,81.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,82.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,83.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,84.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,85.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,86.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,87.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,88.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,89.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,90.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,91.0,1.0
1.2563981,1.0890759,0.82295173,3.0180242,92.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,93.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,94.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,95.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,96.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,97.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,98.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,99.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,100.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,101.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,102.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,103.0,1.0
1.2563981,1.0890759,0.82295173,3.0180242,104.0,1.0
1.2563981,1.0890759,0.82295173,3.0180242,105.0,1.0
1.2563981,1.0890759,0.82295173,3.0180242,106.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,107.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,108.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,109.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,110.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,111.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,112.0,1.0
1.2563981,1.0890759,0.82295173,3.0180244,113.0,1.0
2.6911085,1.371561,0.54046655,4.495482,0.0,2.0
1.3237536,1.1128335,0.7991941,3.0160975,1.0,2.0
1.290324,1.1087389,0.8032887,2.9028664,2.0,2.0
1.2531514,1.0878512,0.8241765,2.966255,3.0,2.0
1.2421963,1.0814521,0.83057547,2.989633,4.0,2.0
1.2432113,1.0825148,0.82951283,2.9876199,5.0,2.0
1.2484607,1.0861354,0.8258922,2.9782887,6.0,2.0
1.2549332,1.0904104,0.8216173,2.9681258,7.0,2.0
1.2622023,1.0952021,0.8168255,2.9560523,8.0,2.0
1.271078,1.1012026,0.81082505,2.9378119,9.0,2.0
1.2828467,1.1093968,0.8026308,2.9084022,10.0,2.0
1.2986597,1.1206367,0.7913909,2.8638446,11.0,2.0
1.3188133,1.1351211,0.7769065,2.803474,12.0,2.0
1.3420708,1.151894,0.7601336,2.7323344,13.0,2.0
